,name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre
5304,Secret Society,84878,False,14,Beat Oven,In Beats We Trust,0.629,0.179,10,-13.725,1.0,0.0626,0.075,0.879,0.383,0.379,88.048,4.0,124.0,study
4257,Countryside Rain,158343,False,35,Rain Sound Studio;Sleep Sound Library;Rain Sounds Sleep,The Science of Sleep: Loopable Rain,0.155,0.993,8,-16.381,1.0,0.0662,0.0911,0.546,0.799,1e-05,133.085,5.0,275.0,sleep
6835,Cha Cha Cha Cha (Japanese Version) - Remix '92,349266,False,13,Mark Farina,The Red Monster,0.745,0.88,2,-10.711,1.0,0.0611,0.0747,0.133,0.352,0.6,134.018,4.0,771.0,chicago-house
12817,HYbr:ID oval collider,379294,False,12,alva noto,HYbr:ID I,0.642,0.187,0,-22.659,1.0,0.0454,0.107,0.719,0.0881,0.0372,139.769,4.0,870.0,idm
10316,Thank You God,192145,True,0,Vipa Music;Kenyaman,Thank You God,0.619,0.353,1,-9.869,0.0,0.0838,0.285,0.0,0.116,0.172,99.941,5.0,319.0,j-dance
10598,〜Do my best〜じゃ意味はない,236880,False,32,Nogizaka46,夜明けまで強がらなくてもいい (Special Edition),0.59,0.783,10,-3.423,1.0,0.0397,0.744,0.0,0.117,0.263,126.994,4.0,487.0,j-idol
2996,人間,285266,False,49,Faye Wong,王菲97,0.603,0.298,4,-11.761,1.0,0.0278,0.743,8.62e-06,0.267,0.298,130.041,4.0,611.0,mandopop
3325,Blanko Cover Lofi,220317,False,21,Swattrex;Lofi By Swattrex,THE CHILL SESSIONS 1 : SHADES OF LOVE,0.499,0.533,0,-11.345,0.0,0.102,0.141,1.82e-05,0.657,0.0617,195.981,4.0,703.0,indian
14141,Vintage Effort,355000,False,1,Saeed Dehghan,Halabi Abad,0.753,0.902,0,-6.991,1.0,0.145,0.37,0.607,0.0429,0.208,119.997,4.0,700.0,iranian
12542,Siren Songs - Theme,165202,False,9,Ben Lukas Boysen,Siren Songs (Original Score for an Abandoned Video Game),0.509,0.806,9,-12.071,0.0,0.0323,0.224,0.945,0.0872,0.0667,100.027,4.0,266.0,idm
3404,Funereal Face,198192,False,0,Garhelenth,The Mysterious Kingdom,0.223,0.868,0,-8.431,1.0,0.0685,6.37e-06,0.771,0.346,0.0372,149.836,3.0,476.0,iranian
11903,Hoje Livre Sou - Ao Vivo,272133,False,52,Ministério Adoração e Vida,Hoje Livre Sou (Ao Vivo),0.52,0.501,5,-4.288,1.0,0.0256,0.608,0.0,0.112,0.372,76.003,4.0,342.0,brazil
7050,Bring Your Soul Back - Dark Male Mix,378392,False,8,Ralphi Rosario;Giangi Cappai,Bring Your Soul Back (The 5102 Remixes),0.812,0.921,9,-4.908,0.0,0.0665,0.00162,0.676,0.311,0.385,124.988,4.0,776.0,chicago-house
169,Graceland,217333,False,20,Plastilina Mosh,Juan Manuel,0.627,0.856,0,-8.674,0.0,0.0326,0.0203,0.911,0.872,0.777,96.963,4.0,351.0,afrobeat
1320,Tyrants,376906,False,45,Immortal,Sons of Northern Darkness,0.383,0.771,2,-7.227,1.0,0.0415,6.99e-06,0.703,0.136,0.246,90.142,4.0,564.0,black-metal
6162,Shifting Gears,168416,False,20,Plump DJs,Headthrash,0.706,0.966,7,-4.116,1.0,0.0576,0.0085,0.000189,0.0894,0.789,123.038,4.0,333.0,breakbeat
13452,Mann gegen Mann,230560,False,63,Rammstein,Rosenrot,0.448,0.878,8,-5.288,1.0,0.0727,0.000703,0.193,0.063,0.579,166.105,4.0,627.0,industrial
1453,Khamoshi,189391,False,50,Ritviz;Karan Kanchan,Dev,0.714,0.666,11,-7.944,1.0,0.0434,0.00451,0.0001,0.42,0.619,114.95,4.0,358.0,indian
9854,Call Me The Breeze,156840,False,65,J.J. Cale,Naturally,0.814,0.418,11,-15.372,1.0,0.0382,0.75,0.0116,0.099,0.842,91.658,4.0,237.0,bluegrass
6728,BazeFaze - SPLT SCND INTERLUDE RMX 10,65598,False,1,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.319,0.967,6,-4.469,0.0,0.0555,0.111,0.903,0.401,0.196,150.058,4.0,163.0,happy
8978,Shout To The Lord,270400,False,41,Hillsong Worship,People Just Like Us (Live),0.338,0.371,9,-13.026,1.0,0.0334,0.705,0.0,0.334,0.244,159.633,4.0,486.0,indian
9770,Amma Puchdi,264444,False,42,Akanksha Bhandari,Raahi,0.531,0.399,11,-9.089,1.0,0.0294,0.704,0.0,0.115,0.21,107.506,1.0,461.0,indian
7252,Volta pro seu Nego,167718,False,41,Iguinho e Lulinha,Simbora pra Vaquejada,0.642,0.823,7,-4.57,1.0,0.0323,0.429,1.07e-06,0.281,0.961,152.016,4.0,421.0,forro
6798,mother,215562,False,42,Macaroni Empitsu,ハッピーエンドへの期待は,0.457,0.814,7,-4.431,1.0,0.0528,0.053,0.0,0.341,0.514,158.077,4.0,553.0,j-idol
9753,Lunatic - Original Mix - Slow Break,195765,False,1,The Prophet,The Hardcore Archive Part 3 (1997),0.789,0.704,11,-5.219,0.0,0.16,0.00158,0.326,0.515,0.149,95.008,4.0,307.0,happy
3909,13日の金曜日,222866,False,18,Nogizaka46,君の名は希望 TypeB,0.553,0.842,5,-3.303,1.0,0.0427,0.393,0.0,0.0461,0.93,197.14,4.0,714.0,j-idol
8874,Endless Alleluia,265377,False,58,Cory Asbury,Reckless Love,0.261,0.179,9,-10.423,1.0,0.0368,0.848,0.0,0.113,0.229,77.473,4.0,397.0,afrobeat
6032,Everything's Borrowed,315306,False,6,Scooter,No Time to Chill,0.705,0.964,9,-7.232,1.0,0.0483,2.69e-05,0.817,0.322,0.758,138.981,4.0,723.0,happy
