name,duration_ms,explicit,popularity,artists,album_name,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,time_signature,n_beats,genre
Recomeçar,255066,False,47,Aline Barros,O Poder do Teu Amor,11,-6.494,1.0,0.065,0.0,0.106,192.297,4.0,802.0,brazil
Garoto de Aluguel (Taxi Boy),312360,False,46,Zé Ramalho,Antologia Acústica,6,-10.186,0.0,0.0295,0.0295,0.137,89.866,4.0,465.0,brazil
Solid Ground,242613,False,28,Wood Belly,Solid Ground,7,-8.813,1.0,0.0282,0.00818,0.305,130.025,4.0,509.0,bluegrass
Don't Fuck With a Ruffneck - Anthem,196138,True,18,Juggernaut,Ruffneck Rules Da Art-Core Scene,2,-10.072,1.0,0.074,0.943,0.46,181.918,4.0,589.0,happy
City Life,160844,False,39,Raghav Meattle,City Life - Single,4,-12.358,1.0,0.0339,6.89e-05,0.143,94.962,4.0,250.0,indian
As Festas Que O Sino Nos Traz,118826,False,29,Taryn Spilzman;Gabi Porto;Fábio Porchat,Olaf em Uma Nova Aventura Congelante de Frozen (Trilha Sonora Original em Português),6,-7.306,0.0,0.0315,8.4e-06,0.116,139.282,4.0,266.0,disney
Como Ayer,217217,False,27,Juanafé,Parrilladas Vargas (Vol. II),1,-8.872,0.0,0.0352,1.16e-06,0.137,102.481,4.0,363.0,afrobeat
最暖的憂傷 (電視劇《溫暖的弦》主題曲),268823,False,36,Hebe Tien,最暖的憂傷 (電視劇《溫暖的弦》主題曲),4,-8.94,1.0,0.0356,0.0,0.1,150.879,4.0,662.0,mandopop
Devotion (ft. Cameron Hayes),190344,False,50,Dimension;Cameron Hayes,Devotion (ft. Cameron Hayes),5,-0.756,0.0,0.0887,0.0273,0.0469,173.971,4.0,546.0,industrial
"Don't Stop - 12"" Club Mix",414708,False,11,Freestylers,Don't Stop EP,6,-8.829,1.0,0.0507,0.818,0.0978,127.994,4.0,878.0,breakbeat
Groundhog Day - Extended Mix,284903,False,8,Scooter,Groundhog Day (The Mixes),5,-5.04,1.0,0.143,0.00596,0.245,154.982,4.0,725.0,happy
好好 (想把你寫成一首歌),198551,False,54,Mayday,自傳,0,-8.876,1.0,0.0284,0.0,0.12,133.895,4.0,432.0,mandopop
Beach at Midnight,108148,False,2,Almo X,Night Shift,0,-14.554,1.0,0.0354,0.913,0.109,80.942,4.0,141.0,study
Bounce back,312764,False,17,Tha Playah,Walking The Line,6,-5.855,1.0,0.058,0.011,0.333,162.043,4.0,832.0,happy
Deirdres samba,181800,False,44,Cornelis Vreeswijk,Tio vackra visor och personliga Person,0,-17.159,1.0,0.0585,0.108,0.128,100.481,4.0,297.0,j-idol
Primal.,261786,False,23,BiS,Brand-new idol Society2,8,-3.551,1.0,0.0621,0.0202,0.074,184.129,4.0,785.0,j-idol
Fala a Verdade para Ele,218160,False,53,Pablo,Um Novo Passo,6,-6.219,0.0,0.0324,0.0,0.433,132.003,4.0,479.0,forro
El Surf,203544,False,18,PIÑA PINK,El Surf,11,-15.654,1.0,0.119,0.934,0.0783,78.898,4.0,261.0,study
Bebes de mi,257426,False,30,Rosana,Lunas rotas,1,-6.552,1.0,0.0358,0.0,0.0477,102.962,4.0,433.0,spanish
Metropolis Light Transport,302928,False,5,Datassette,Mannequin on the Run EP,0,-8.147,1.0,0.0324,0.875,0.0559,131.018,4.0,659.0,idm
Mountain Song,210013,False,21,Larry Keel,Journey,9,-13.388,1.0,0.0345,0.00549,0.104,97.87,4.0,334.0,bluegrass
Sem Querer,192468,False,32,Japãozin,Arraiá pra Paredão,9,-4.203,1.0,0.0472,0.0,0.0304,163.985,4.0,517.0,forro
Arkhangelsk,171320,False,13,Ochre,Project Caelus,6,-13.971,1.0,0.0368,0.867,0.11,124.983,4.0,347.0,idm
Can We Stay Forever?,64245,False,34,joyvegas,Can We Stay Forever?,4,-15.966,1.0,0.0649,0.956,0.413,86.153,4.0,92.0,indian
Das kann uns keiner nehmen,216039,False,21,DJ Ötzi,Sei du selbst - Party 2.0,0,-4.162,1.0,0.0445,3.71e-06,0.283,130.06,4.0,459.0,happy
I Killed Sally's Lover,157120,False,27,The Avett Brothers,A Carolina Jubilee,7,-6.372,1.0,0.0305,6.49e-06,0.0801,140.149,4.0,355.0,bluegrass
Thunderstorm Noise Loopable,87491,False,33,Calming Sounds;Thunderstorm Sound Bank;Rain Sounds & White Noise,Sleepy Rain,8,-13.897,1.0,0.0599,0.992,0.444,81.558,4.0,113.0,sleep
Liptones,241866,False,0,Luke Vibert,YosepH,3,-13.254,0.0,0.0667,0.878,0.0985,172.021,4.0,683.0,idm
Tum Ho Yahaan,196932,False,37,Abhilasha Sinha,Tum Ho Yahaan,7,-6.559,1.0,0.0296,0.0,0.324,162.997,3.0,523.0,indian
Semester,125535,False,16,Phive O,Semester,6,-13.053,0.0,0.0666,0.872,0.111,146.028,4.0,290.0,study
Happy 35,155454,False,0,Sless Praismo,Happy 35,6,-12.733,0.0,0.0764,0.913,0.0977,175.766,4.0,449.0,study
Akatsuki,325773,False,45,BABYMETAL,BABYMETAL,6,-1.74,0.0,0.0638,0.000145,0.191,169.894,4.0,907.0,j-idol
La Laliki Land,246000,False,2,SarrSew,La Laliki Land,10,-16.977,0.0,0.0476,0.0167,0.131,140.76,3.0,569.0,iranian
Love On The Line,296672,False,52,Hillsong Worship,OPEN HEAVEN / River Wild,7,-6.555,1.0,0.0307,0.0,0.269,172.203,3.0,851.0,afrobeat
Milagres - Ao Vivo,434468,False,46,Juliano Son,Livres ao Vivo em São Paulo,0,-6.486,1.0,0.036,0.000277,0.27,143.864,4.0,1020.0,brazil
Hang Loose,288933,False,21,Mandrill,Composite Truth,7,-10.777,0.0,0.0617,0.165,0.12,128.291,4.0,594.0,afrobeat
Paramilitar,237120,False,29,Ska-P,Todo Ska-p,7,-2.98,1.0,0.0555,1.79e-05,0.0389,109.052,4.0,426.0,spanish
I See You (with Brandon Lake),230673,False,44,Chris Tomlin;Brandon Lake,Always,1,-4.561,1.0,0.0383,0.0,0.104,159.974,4.0,594.0,indian
Space Diver,397440,False,57,Boris Brejcha,Space Diver,5,-8.655,1.0,0.0615,0.853,0.0717,124.993,4.0,823.0,techno
Brand New Love,274760,False,24,Deadsy,Commencement,2,-5.507,1.0,0.0256,0.37,0.309,105.0,4.0,475.0,industrial
Weck mich nicht auf - Tom Tigo RMX,224774,False,21,Mia Julia;Tom Tigo,Weck mich nicht auf (Tom Tigo RMX),6,-4.995,1.0,0.0397,0.0,0.4,133.0,4.0,491.0,happy
思念喲,255733,False,22,Jody Chiang,愛作夢的魚,2,-5.636,1.0,0.0248,0.00117,0.212,123.973,3.0,517.0,mandopop
kho gaya,177290,False,46,Zaeden;Yashraj;AAKASH,Genesis 1:1,0,-7.863,1.0,0.0613,0.0,0.134,155.062,4.0,453.0,indian
Pulses of Information,246853,False,42,Rival Consoles,Overflow,7,-14.572,1.0,0.0399,0.803,0.091,140.114,4.0,564.0,idm
Las hermanas pelean,77933,False,20,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0,-16.699,1.0,0.038,0.903,0.114,97.029,4.0,118.0,disney
F It Up,157078,True,0,Jason Derulo,New RnB,11,-4.724,0.0,0.123,0.0,0.14,100.006,4.0,255.0,breakbeat
"Kasoor (From ""Dhamaka"") - Acoustic",213306,False,50,Prateek Kuhad,"Kasoor (From ""Dhamaka"") [Acoustic]",6,-14.49,1.0,0.0336,0.00179,0.114,95.852,4.0,356.0,indian
Fly - Redo Version,229676,False,31,Kidz Bop Kids,KIDZ BOP All-Time Greatest Hits,0,-6.225,1.0,0.0328,6.15e-05,0.038,99.521,4.0,378.0,disney
Break Of Dawn - Rhythm On The Loose '95 Remix,330973,False,20,Rhythm On The Loose,Break Of Dawn EP,9,-7.629,0.0,0.0447,0.672,0.104,125.838,4.0,689.0,breakbeat
"Red Light Green Light - For Club Play Only, Pt. 6",211208,False,64,Duke Dumont;Shaun Ross,"Red Light Green Light (For Club Play Only, Pt. 6)",2,-5.48,1.0,0.0654,0.517,0.0689,124.005,4.0,432.0,techno
Déjame,160000,False,63,Los Secretos,Los Secretos,7,-11.133,1.0,0.0298,3.63e-05,0.274,99.677,4.0,252.0,spanish
Out of Space,302106,False,64,The Prodigy,Experience,9,-4.804,1.0,0.0515,0.276,0.103,147.078,4.0,731.0,breakbeat
涙がまだ悲しみだった頃,260493,False,18,Nogizaka46,走れ!Bicycle TypeA,5,-2.912,1.0,0.0544,0.0,0.308,163.875,4.0,697.0,j-idol
私の16才,227087,False,27,Kyoko Koizumi,私の16才,11,-7.095,0.0,0.0373,0.00159,0.163,132.905,4.0,496.0,techno
響,280466,False,23,Shiritsu Ebisu Chugaku,でかどんでん,4,-3.873,1.0,0.0445,2.31e-05,0.128,135.001,4.0,619.0,j-idol
MOON PRIDE,221479,False,19,Momoiro Clover Z,桃も十、番茶も出花,5,-1.472,1.0,0.0783,0.000368,0.0606,172.653,4.0,616.0,j-idol
Target,162863,True,22,Tommy Lee Sparta,Target,0,-3.808,0.0,0.0694,0.0,0.316,112.041,4.0,298.0,j-dance
New Rules,209320,False,83,Dua Lipa,Dua Lipa (Deluxe),9,-6.021,0.0,0.0694,1.56e-05,0.153,116.073,4.0,403.0,breakbeat
God Only Knows (Timbaland Remix),215020,False,48,for KING & COUNTRY;Echosmith;Timbaland,God Only Knows (Timbaland Remix),11,-5.437,0.0,0.0486,0.0,0.11,143.964,4.0,499.0,indian
Souled Out,258151,False,18,Nu:Tone,Little Spaces,2,-4.139,0.0,0.0474,0.864,0.221,172.035,4.0,738.0,industrial
Gold Plated,133333,False,39,Redmoo,Gold Plated,4,-8.645,0.0,0.0544,0.3,0.108,180.085,4.0,398.0,study
Nothing and Nowhere,256040,False,24,The Birthday Massacre,Imagica,9,-5.446,1.0,0.044,0.905,0.442,89.041,4.0,371.0,industrial
Chileshe,378893,False,18,Hugh Masekela,Pure Sounds of Africa,5,-3.685,1.0,0.0317,0.000192,0.207,88.955,4.0,556.0,afrobeat
ツヨクツヨク -ZZ ver.-,230600,False,30,Momoiro Clover Z,ZZ's,9,-1.712,1.0,0.152,5.72e-05,0.33,137.987,4.0,508.0,j-idol
Motorbike,188617,False,58,Leon Bridges,Gold-Diggers Sound,5,-11.213,1.0,0.0681,0.275,0.107,150.027,4.0,466.0,bluegrass
D.A.M.,225866,True,53,Fetty Wap,Fetty Wap (Deluxe),7,-3.51,0.0,0.0395,0.0,0.0898,136.01,4.0,509.0,j-dance
Pal Pal Dil Ke Paas - Unwind Instrumental,250093,False,46,Paras Nath;Shomu Seal,Relax with Bollywood Instrumentals,9,-13.667,1.0,0.0299,0.826,0.0821,122.034,4.0,501.0,indian
Wonderland,150000,False,43,So_nny,Wonderland,0,-10.117,0.0,0.049,0.84,0.138,80.018,4.0,198.0,study
I Wish I Was,316440,False,57,The Avett Brothers,True Sadness,11,-8.86,1.0,0.0317,0.0,0.188,109.329,4.0,548.0,bluegrass
魚,300186,False,49,Cheer Chen,太陽,7,-7.747,1.0,0.032,0.0,0.076,137.752,4.0,664.0,mandopop
La Balada del Vagabundo,158480,False,30,José Guardiola,Lo Mejor de Jose Guardiola,0,-7.372,1.0,0.0542,0.0,0.162,107.827,4.0,279.0,spanish
Leichtigkeit - Party Remix,203214,False,20,Ingo ohne Flamingo,Leichtigkeit (Party Remix),10,-2.706,1.0,0.158,0.0,0.307,132.039,4.0,444.0,happy
Becoming,334000,False,18,LIK,Misanthropic Breed,7,-6.005,1.0,0.0816,0.453,0.389,115.087,4.0,642.0,black-metal
Vesperi,363171,False,40,Joyhauser,Vesperi,5,-8.812,0.0,0.07,0.609,0.115,133.999,4.0,807.0,techno
Bimari,257668,False,2,Electroqute,Tanpasin,4,-3.743,1.0,0.0786,6.01e-05,0.233,94.952,4.0,397.0,iranian
Ik Moet Zuipen! - Hardstyle Frenchcore Remix,240213,False,22,PartyfrieX;Schorre Chef & MC Vals,Partyfreak,0,-7.19,1.0,0.0774,0.000386,0.0621,149.934,4.0,578.0,happy
Melting Sun I: Azure Chimes,431400,False,31,Lantlôs,Melting Sun,11,-5.489,1.0,0.0503,0.805,0.0893,124.931,4.0,882.0,black-metal
Veneration of the Lunar Orb,312807,False,19,Sulphur Aeon,The Scythe of Cosmic Chaos,3,-7.267,1.0,0.0845,0.636,0.118,95.046,4.0,482.0,black-metal
Someone To Forget,167294,False,17,Jakka-B;Tatsunoshin,Someone To Forget,0,-4.643,1.0,0.0701,0.0,0.432,170.054,4.0,459.0,happy
7 8 - Archive '99,231936,False,13,Telefon Tel Aviv,Fahrenheit Fair Enough,2,-7.986,1.0,0.0391,0.838,0.255,147.97,1.0,567.0,idm
Skin To Skin,216333,False,37,Lu Han,Xplore,11,-7.563,0.0,0.061,0.00357,0.0806,167.874,4.0,591.0,mandopop
Clementine,207013,False,18,Punch Brothers,The Wireless,0,-17.162,1.0,0.0401,3.83e-06,0.081,112.699,4.0,377.0,bluegrass
Stand Up,240266,True,27,(Hed) P.E.;Lajon Witherspoon;Sevendust,Truth Rising,7,-4.578,1.0,0.123,0.00101,0.103,175.154,4.0,698.0,industrial
Honour,401150,True,21,VNV Nation,Praise the Fallen,11,-9.427,1.0,0.043,0.489,0.281,131.92,4.0,871.0,industrial
12 Weeks,160941,False,16,huglord,12 Weeks,11,-10.995,1.0,0.0355,0.853,0.112,84.986,4.0,225.0,study
Mirabel's Cumbia,169893,False,17,Germaine Franco,Encanto (Trilha Sonora Original em Português),7,-8.495,1.0,0.0313,0.679,0.0617,97.99,4.0,266.0,disney
So Fine,275360,False,10,Freestylers,Adventures In Freestyle,5,-5.749,0.0,0.0363,0.0134,0.11,118.013,4.0,527.0,breakbeat
Dawn of a New Day,291106,False,11,Larry Heard;Loosefingers,Soundtrack From the Duality Double-Play,0,-12.851,1.0,0.0585,0.941,0.0975,106.015,4.0,510.0,chicago-house
Find the Good,151170,False,16,"Sarah, the Illstrumentalist",At My Own Pace,0,-9.17,1.0,0.0517,0.823,0.147,182.995,4.0,449.0,study
Billy in the Low Ground,97000,False,0,Clarence White,33 Guitar Instrumentals,7,-12.46,1.0,0.0322,0.921,0.232,128.361,4.0,199.0,bluegrass
Where Do My Bluebird Fly,251213,False,31,Trout Steak Revival,Flight,7,-9.336,1.0,0.0333,0.000104,0.247,120.565,4.0,499.0,bluegrass
多遠都要在一起,217720,False,66,G.E.M.,新的心跳,3,-6.532,1.0,0.0312,0.0,0.102,135.726,4.0,482.0,mandopop
這世界那麼多人 - 電影《我要我們在一起》主題曲,285833,False,0,Karen Mok,這世界那麼多人 (電影《我要我們在一起》主題曲),11,-12.648,1.0,0.0359,0.0,0.0778,143.567,4.0,665.0,mandopop
C.M.E.,358666,True,18,Bölzer,Aura,1,-11.465,0.0,0.0709,0.62,0.22,138.396,4.0,816.0,black-metal
Sigo buscando,287959,False,26,Alex Ubago,Sigo buscando,8,-6.601,1.0,0.0316,0.0,0.111,88.013,4.0,414.0,spanish
Kalinka (DJ Edit),212343,False,19,The Darkraver,Kalinka (DJ Edit),9,-6.169,1.0,0.139,0.77,0.0699,154.873,4.0,453.0,happy
Secret Pelle,140066,False,19,Kettel,Ibb & Obb (Original Soundtrack),8,-18.017,1.0,0.0338,0.526,0.182,83.989,4.0,192.0,idm
"Stars so Bright, My Eyes Hurt",304790,False,9,Tineidae,Exo,8,-15.686,1.0,0.0502,0.972,0.112,138.474,3.0,547.0,idm
風をあつめて,293906,False,22,Leyona,Niji,2,-7.476,1.0,0.0351,3e-06,0.0784,166.25,3.0,799.0,j-dance
SCARLETT'S WEEKEND,111696,True,6,RUSSELL!,SCARLETT'S WEEKEND,2,-4.25,1.0,0.035,0.0,0.194,111.81,4.0,208.0,study
Homophony,383085,False,0,Alireza Mashayekhi;National Symphony Orchestra of Ukraine;Vladimir Sirenko,"Symphony, No. 1, Op. 7",7,-17.01,1.0,0.0817,0.346,0.192,165.211,3.0,814.0,iranian
Sirens for the Colour,301546,False,11,Luke Abbott,Holkham Drones,0,-18.156,1.0,0.0282,0.92,0.109,110.012,3.0,548.0,idm
Kiss Me,198460,False,22,Pickin' On Series;The Sidekicks,Pickin' on the 90s,3,-7.119,1.0,0.0254,0.000115,0.0965,100.027,4.0,319.0,bluegrass
Boa Sorte pra Você,157750,False,42,Vitor Fernandes,Diferente de Tudo,9,-4.153,0.0,0.0437,2.03e-05,0.118,150.084,4.0,386.0,forro
O Encanto,238553,False,41,Banda Magníficos,Magníficos Different,9,-4.311,1.0,0.0287,0.0,0.314,91.989,4.0,359.0,forro
Yègellé Tezeta,194293,False,57,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,3,-13.539,1.0,0.0413,0.747,0.105,125.597,4.0,403.0,afrobeat
Sweater Weather,305117,False,0,Swattrex;Lofi By Swattrex,Sweater Weather,1,-14.002,1.0,0.0468,0.865,0.112,96.035,4.0,488.0,indian
Christmas Is Coming (Remastered 2014),149052,False,0,Traditional;Richard Benson and His Orchestra,"Classical Christmas, Vol. 1",5,-10.196,1.0,0.035,0.091,0.415,120.6,4.0,295.0,sleep
J'Adore Hardcore - Extended Mix,339768,False,17,Scooter,J'Adore Hardcore,7,-5.457,1.0,0.0498,0.0745,0.163,149.98,4.0,844.0,happy
A centímetros de ti,207957,False,30,Brock Ansiolitiko,A centímetros de ti,9,-6.195,1.0,0.0325,0.000241,0.0986,149.901,4.0,507.0,spanish
Hey Boy Hey Girl,290493,False,68,The Chemical Brothers,Surrender,2,-4.976,1.0,0.0531,0.508,0.114,127.001,4.0,613.0,breakbeat
Nights,311132,False,0,Siavash Amini;Hessam Ohadi;Nima Pourkarimi,Spotty Surfaces,8,-11.342,1.0,0.0673,0.914,0.504,120.012,4.0,605.0,iranian
Remédio pra Desprezo,199601,False,43,Zé Vaqueiro Estilizado,Psicanálise,1,-7.678,1.0,0.0344,7.9e-06,0.178,149.98,4.0,489.0,forro
Mad Trippin’,107586,False,29,Beat Oven,Baptastic,6,-11.202,1.0,0.0815,0.895,0.384,77.025,4.0,132.0,study
Fabulous,240308,False,20,Freestylers;Scarlett Quinn,Other Worlds,2,-3.792,1.0,0.0555,0.00156,0.017,108.003,4.0,432.0,breakbeat
Sehnsucht,244426,False,65,Rammstein,Sehnsucht,11,-5.463,1.0,0.0555,0.624,0.0775,140.125,4.0,564.0,industrial
El Chisme,167980,False,64,Carlos Baute;Chenoa,El Chisme,11,-4.485,1.0,0.0778,0.0,0.104,93.777,4.0,260.0,spanish
Midnight Set,163848,False,28,Dusty Decks,Midnight Set,2,-8.507,1.0,0.0287,0.785,0.136,148.406,3.0,398.0,study
Cielo hermético,239258,False,56,Fito y Fitipaldis,Cada vez cadáver,6,-7.591,1.0,0.0696,1.24e-05,0.084,167.386,4.0,660.0,spanish
Blue Virginia Blues,246266,False,28,Larry Sparks,Silver Reflections,5,-13.1,1.0,0.048,8.21e-06,0.102,183.907,4.0,737.0,bluegrass
Não Precisa Mais Chorar,260190,False,42,Pedro Henrique,Não Precisa Mais Chorar,10,-9.598,1.0,0.0274,0.0,0.122,125.173,4.0,537.0,brazil
