,name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre,genreEncoded,grouped_genres
0,Long Road,241760,False,46,Funki Porcini,Hed Phone Sex,0.69,0.513,5,-12.529,1.0,0.0975,0.302,0.536,0.281,0.635,142.221,4.0,567.0,j-dance,13,0
1,"Daniâl My Son, Where Did You Vanish?",444000,False,0,Siavash Amini,A Trail of Laughters,0.069,0.196,1,-24.801,0.0,0.0805,0.283,0.934,0.36,0.0336,75.596,4.0,617.0,iranian,12,2
2,Ondskapens Galakse,333506,False,3,Kvelertak,Nattesferd,0.363,0.854,2,-7.445,1.0,0.0397,8.93e-05,0.8,0.262,0.489,116.628,4.0,652.0,black-metal,1,2
3,Can't Look Away,269800,False,23,The Wood Brothers,One Drop of Truth,0.523,0.585,5,-5.607,1.0,0.0765,0.0664,0.00127,0.117,0.385,140.88,4.0,619.0,bluegrass,2,0
4,Thunderground,307651,False,25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,0.687,7,-11.34,1.0,0.0539,0.000576,0.0969,0.299,0.637,143.956,4.0,733.0,happy,8,3
5,Sick Bubblegum,224266,True,32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5,-3.047,1.0,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0,432.0,industrial,11,3
6,The Diamond Four,225160,False,27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,0.949,2,-2.488,1.0,0.0585,0.306,1.63e-05,0.299,0.85,109.992,4.0,411.0,j-idol,14,3
7,Quiero tener tu presencia,220626,False,64,Seguridad Social,Furia Latina,0.741,0.816,4,-5.597,1.0,0.0797,0.0211,0.0,0.0981,0.574,146.075,4.0,517.0,spanish,17,0
8,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116815,False,45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,0.119,6,-25.16,1.0,0.0501,0.704,0.913,0.543,0.0342,84.886,4.0,162.0,sleep,16,1
9,Into The Pentagram,405800,False,21,Samael,Worship Him,0.311,0.729,4,-7.047,1.0,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,882.0,black-metal,1,2
10,Gammy Elbow - VIP Mix,191296,False,19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,0.893,7,-2.567,1.0,0.191,0.0166,0.859,0.0907,0.613,129.999,4.0,412.0,j-dance,13,0
