name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre
否定した未来,269426,False,20,Keyakizaka46,黒い羊 (Special Edition),0.692,0.796,1,-5.391,1.0,0.0258,0.184,2.62e-05,0.353,0.737,111.993,4.0,490.0,j-idol
Noma Themba,206066,False,20,Letta Mbulu,Naturally,0.734,0.411,0,-8.984,1.0,0.0253,0.656,0.000775,0.0924,0.532,90.629,4.0,306.0,afrobeat
Duende (feat. Aleks Syntek),253626,False,28,Miguel Bosé;Aleks Syntek,Papitwo (Deluxe),0.632,0.814,11,-6.419,1.0,0.0383,0.0101,0.0,0.214,0.359,126.523,4.0,529.0,spanish
okay,116959,False,29,jassie z,okay,0.666,0.654,11,-7.627,0.0,0.0497,0.83,0.864,0.11,0.665,73.975,4.0,143.0,study
Like Love,427800,False,15,Timo Maas,Loud (Eastwest Release),0.67,0.913,11,-6.633,1.0,0.0453,0.0274,0.886,0.101,0.231,131.018,4.0,930.0,breakbeat
Como Vou Deixar Você?,188800,False,55,Calcinha Preta,"Fica Comigo, Paulinha, Vol. 17",0.517,0.933,4,-3.988,0.0,0.0678,0.222,2.51e-06,0.48,0.63,180.11,4.0,565.0,forro
Complex,161312,True,3,SE,Complex,0.78,0.53,9,-10.074,1.0,0.157,0.608,0.0188,0.159,0.326,122.119,4.0,324.0,idm
Take It Slow,324500,False,37,Crispy脆樂團;恐龍的皮,愛是我們必經的辛苦,0.463,0.37,0,-10.333,1.0,0.0419,0.739,0.258,0.0796,0.16,79.991,4.0,423.0,mandopop
Lucro (Descomprimindo),246280,False,19,BaianaSystem,Lucro (Descomprimindo),0.713,0.825,9,-5.44,0.0,0.0335,0.147,0.00095,0.212,0.68,100.04,4.0,409.0,afrobeat
Doo Wap - Samy Handy God of House Gang Remix,351886,False,8,Paul Johnson,God of House 5,0.857,0.743,7,-4.063,1.0,0.148,0.000739,0.848,0.0959,0.388,131.01,4.0,768.0,chicago-house
你敢不敢,235760,False,54,LaLa Hsu,理想人生,0.509,0.602,6,-6.307,1.0,0.0264,0.351,0.0,0.0613,0.187,91.997,4.0,352.0,mandopop
"O Come, O Come, Emmanuel",244880,False,0,Punch Brothers,Acoustic Christmas Campfire,0.606,0.298,2,-11.326,1.0,0.0319,0.701,2.06e-06,0.13,0.174,118.907,4.0,469.0,bluegrass
人間,285266,False,49,Faye Wong,王菲97,0.603,0.298,4,-11.761,1.0,0.0278,0.743,8.62e-06,0.267,0.298,130.041,4.0,611.0,mandopop
Valiente,208893,False,61,Vetusta Morla,Un Día en el Mundo,0.554,0.9,4,-3.654,0.0,0.0366,0.00382,8.26e-06,0.133,0.569,140.023,4.0,474.0,spanish
Windloni,309965,False,19,Black Messiah,The Final Journey,0.224,0.891,9,-4.261,1.0,0.0498,3.07e-06,0.767,0.176,0.223,153.16,4.0,771.0,black-metal
Mad on the Road,276363,False,8,Dub Pistols;Ragga Twins,Crazy Diamonds,0.694,0.951,0,-3.884,1.0,0.0767,0.00157,2e-06,0.112,0.389,144.07,4.0,645.0,breakbeat
Clarion - Kiasmos Remix,343278,False,44,Ben Lukas Boysen;Kiasmos,Clarion (Kiasmos Remix),0.609,0.651,6,-14.3,0.0,0.0419,0.509,0.837,0.107,0.195,122.014,4.0,686.0,idm
我不難過,320400,False,57,Stefanie Sun,未完成,0.446,0.521,3,-6.804,1.0,0.0351,0.268,0.0,0.362,0.126,127.977,4.0,668.0,mandopop
Proibida Pra Mim,195000,False,47,Zeca Baleiro,Top Hits,0.65,0.361,7,-10.614,1.0,0.0328,0.722,0.0,0.097,0.54,132.839,4.0,421.0,brazil
Elide - Peel Session,271755,False,0,Plaid,Peel Session 2,0.615,0.832,8,-10.321,1.0,0.03,0.0956,0.774,0.3,0.896,134.206,4.0,596.0,idm
Come Now Is The Time To Worship,318373,False,35,Brian Doerksen,It's Time,0.515,0.854,9,-6.375,1.0,0.0394,0.0256,0.00023,0.1,0.288,103.448,4.0,529.0,iranian
SHAKE! SHAKE! (Prod. ポルカドットスティングレイ),193613,False,17,Shiritsu Ebisu Chugaku,playlist,0.66,0.959,1,-3.332,1.0,0.103,0.0188,3.38e-06,0.0215,0.589,132.99,4.0,416.0,j-idol
Aviones Plateados - En Directo,230779,False,46,El Último De La Fila,Historia de una Banda (En Directo),0.69,0.518,2,-6.077,1.0,0.0422,0.394,0.0,0.14,0.544,139.941,4.0,527.0,spanish
Una Cosa De Amor,215066,False,0,Ralphi Rosario,The Godfathers of House #1,0.784,0.819,2,-7.69,1.0,0.0514,0.00361,0.702,0.0704,0.478,119.117,4.0,422.0,chicago-house
Brujas,334466,False,39,Mägo de Oz,"Hechizos, pócimas y brujería",0.458,0.922,2,-3.716,1.0,0.0868,0.011,1.14e-05,0.141,0.403,126.611,4.0,669.0,spanish
Minha Neném,197973,False,42,Washington Brasileiro,Minha Neném,0.658,0.966,9,-4.134,1.0,0.137,0.32,0.0,0.109,0.724,170.214,4.0,548.0,forro
アイスのくちづけ,253040,False,22,AKB48,アイスのくちづけ,0.478,0.796,1,-7.481,1.0,0.0303,0.00339,0.0,0.226,0.597,157.085,4.0,649.0,j-idol
Brute Force,286714,False,17,Omar Santana,Oldschool Hardcore Volume II,0.431,0.848,6,-8.842,0.0,0.0434,1.61e-05,0.88,0.154,0.058,189.434,4.0,905.0,happy
サイン,353200,False,17,Sakurako Ohara,V,0.402,0.765,4,-3.379,1.0,0.0299,0.054,0.0,0.0531,0.267,167.989,4.0,967.0,j-idol
Great I Am - Live,328933,False,52,New Life Worship;Integrity's Hosanna! Music,You Hold It All (Live),0.246,0.51,2,-6.637,1.0,0.036,0.00799,4.57e-05,0.325,0.101,159.915,4.0,876.0,indian
Broek Af - Anonymous Remix,209253,False,21,De Antennes,Broek Af,0.839,0.973,7,-9.038,1.0,0.0544,0.0498,0.896,0.185,0.787,139.998,4.0,477.0,j-dance
Soul Saxes Meeting,178428,False,22,Manu Dibango,African Voodoo,0.636,0.826,3,-7.486,1.0,0.0585,0.461,0.271,0.141,0.731,102.809,4.0,304.0,afrobeat
Kasoor,197549,False,70,Prateek Kuhad,Kasoor,0.558,0.497,8,-7.175,1.0,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4.0,345.0,indian
Handprints,74571,False,37,Lazy Leopard,Handprints,0.771,0.383,9,-11.246,0.0,0.0689,0.364,0.838,0.167,0.373,69.993,4.0,85.0,study
Get Down Massive,325786,False,14,Freestylers,Pressure Point,0.731,0.92,6,-6.104,1.0,0.0489,0.0168,0.000196,0.0993,0.479,134.869,4.0,728.0,breakbeat
Radio,277397,False,72,Rammstein,Rammstein,0.652,0.894,0,-5.145,1.0,0.0409,0.00404,0.00381,0.124,0.76,132.03,4.0,604.0,industrial
Electronic Debris,410794,False,8,Mr. Fingers,Vault Sessions 1,0.802,0.837,2,-9.169,1.0,0.0376,0.0313,0.859,0.103,0.268,123.002,4.0,840.0,chicago-house
Finer in Carolina,144374,False,9,"Sarah, the Illstrumentalist",Carolina Sound,0.663,0.375,7,-9.283,1.0,0.0734,0.0348,0.877,0.128,0.559,96.002,4.0,228.0,study
secret base ~君がくれたもの~,295386,False,59,ZONE,E 〜Complete A side Singles〜,0.49,0.777,6,-6.237,1.0,0.0384,0.366,0.0,0.139,0.427,144.81,4.0,699.0,j-idol
Badder Badder Schwing,206200,False,36,Freddy Fresh;Fatboy Slim,Badder Badder Schwing,0.593,0.993,6,-5.461,1.0,0.103,0.0618,0.783,0.164,0.474,150.367,4.0,510.0,breakbeat
斷了的弦,293506,False,51,Jay Chou,尋找周杰倫,0.654,0.632,9,-6.784,1.0,0.0247,0.396,7.95e-06,0.0735,0.324,97.028,4.0,471.0,mandopop
Never Let Me Down,185133,False,0,Gorgon City;Hayley May,pov: it's 2021,0.706,0.824,1,-7.036,1.0,0.133,0.0547,0.00162,0.0448,0.536,123.965,4.0,376.0,chicago-house
Bewafa Nikli X Aaja ve Mahiya - Lofi,185004,False,0,H Dixit;DJ Lense;Lofi Person,Bewafa Nikli X Aaja ve Mahiya,0.596,0.557,5,-7.383,0.0,0.0323,0.123,9.47e-06,0.335,0.194,140.229,4.0,432.0,indian
Estás Entre Nós (feat. Monsenhor Jonas Abib),272173,False,48,Eliana Ribeiro;Monsenhor Jonas Abib,Tempo de Colheita,0.596,0.401,2,-8.364,0.0,0.0297,0.654,0.0,0.0913,0.124,126.051,4.0,558.0,brazil
kinda wonderful,129882,False,43,white noizz,kinda wonderful,0.739,0.309,9,-12.947,0.0,0.0472,0.257,0.824,0.111,0.409,97.048,4.0,207.0,study
Clutch,253539,False,36,Power Glove,Playback,0.655,0.813,10,-6.812,0.0,0.0537,0.0422,0.87,0.112,0.432,113.028,4.0,473.0,techno
