explicit,artists,key,genre,time_signature
0,2056,1,14,4.0
0,2244,0,0,4.0
0,2545,11,17,4.0
0,4470,11,18,4.0
0,4061,11,4,4.0
0,632,4,7,4.0
1,3450,9,9,4.0
0,853,0,15,4.0
0,384,9,0,4.0
0,2982,7,5,4.0
0,2176,6,15,4.0
0,3222,2,2,4.0
0,1367,4,15,4.0
0,4200,4,17,4.0
0,522,9,1,4.0
0,1170,0,4,4.0
0,469,6,9,4.0
0,3755,3,15,4.0
0,4385,7,3,4.0
0,3052,8,9,4.0
0,582,9,12,4.0
0,3628,1,14,4.0
0,1261,2,17,4.0
0,3274,2,5,4.0
0,2649,2,17,4.0
0,4259,9,7,4.0
0,46,1,14,4.0
0,2871,6,8,4.0
0,3487,4,14,4.0
0,2737,2,10,4.0
0,994,7,13,4.0
0,2410,3,0,4.0
0,3094,8,10,4.0
0,2209,9,18,4.0
0,1475,6,4,4.0
0,3286,0,11,4.0
0,2625,2,5,4.0
0,3543,7,18,4.0
0,4370,6,14,4.0
0,1471,6,4,4.0
0,1859,9,15,4.0
0,1598,1,5,4.0
0,1623,5,10,4.0
0,1273,2,3,4.0
0,4507,9,18,4.0
0,3088,10,19,4.0
0,1188,1,11,4.0
0,2446,11,5,4.0
0,4343,2,2,4.0
0,737,11,6,4.0
0,960,9,1,4.0
0,3352,0,17,4.0
0,4310,1,1,4.0
0,2743,0,19,4.0
0,4575,3,15,3.0
0,3706,10,17,4.0
1,1396,7,13,4.0
0,1724,1,7,4.0
0,2417,10,17,4.0
1,2630,1,11,4.0
0,2108,6,8,4.0
0,2143,11,1,4.0
0,3287,5,6,4.0
0,4169,11,7,4.0
1,2566,9,11,4.0
0,1152,0,11,4.0
0,2801,0,18,4.0
0,1725,0,7,4.0
0,925,6,5,4.0
0,3475,4,12,3.0
0,3583,10,14,4.0
0,2908,5,18,4.0
0,1907,8,18,4.0
0,332,6,17,4.0
0,3247,4,18,4.0
0,3890,1,5,4.0
0,2095,11,8,4.0
0,2335,11,4,4.0
0,2083,9,19,4.0
0,2437,10,14,4.0
0,2541,4,3,4.0
0,1909,5,15,4.0
0,4557,0,15,4.0
0,46,7,14,3.0
0,1955,8,7,4.0
0,3222,2,2,3.0
0,1063,0,15,4.0
0,3229,1,13,3.0
0,2006,0,10,4.0
0,3736,7,2,3.0
0,3486,2,5,4.0
0,3277,5,5,4.0
0,2442,7,5,4.0
0,2106,5,8,4.0
0,1035,10,1,4.0
0,3233,1,9,4.0
0,3543,0,18,4.0
0,3800,11,4,4.0
0,4118,3,16,4.0
0,2146,7,14,4.0
0,2056,4,14,4.0
0,4578,0,15,3.0
0,3562,8,8,4.0
0,995,11,8,5.0
0,4180,9,11,4.0
1,777,11,13,4.0
0,4242,9,17,4.0
0,3796,6,9,4.0
0,4396,1,7,4.0
0,2291,9,0,4.0
0,46,8,14,4.0
0,3467,8,14,4.0
0,4494,0,18,4.0
0,2454,9,6,4.0
0,923,11,8,4.0
0,2620,10,9,4.0
0,1139,10,8,4.0
1,3561,7,8,4.0
0,4239,7,13,4.0
0,2694,1,17,4.0
0,4540,10,14,4.0
0,4368,3,15,4.0
0,846,3,13,4.0
0,4578,11,15,4.0
0,2506,1,17,3.0
0,217,1,7,4.0
0,343,1,7,4.0
0,1360,11,5,4.0
0,3410,1,3,4.0
0,4361,8,14,4.0
0,1220,8,15,4.0
0,644,6,6,3.0
0,1873,7,3,4.0
0,2918,3,18,4.0
0,3913,0,9,4.0
0,3214,9,4,4.0
0,2463,7,12,3.0
0,2282,2,18,5.0
0,3896,8,16,4.0
0,1515,5,14,4.0
0,2010,2,7,4.0
0,4501,3,18,4.0
0,6,0,8,4.0
0,4143,10,7,4.0
0,1551,9,4,4.0
0,1979,1,18,4.0
0,828,0,19,4.0
1,3692,7,11,4.0
0,4105,4,9,4.0
0,3154,6,10,4.0
0,1914,11,5,4.0
1,913,6,8,4.0
0,2754,11,10,3.0
0,1692,1,0,4.0
0,3716,9,5,4.0
0,1857,0,4,4.0
0,3414,8,3,4.0
0,2843,8,9,4.0
0,2441,2,5,4.0
0,1659,10,7,4.0
0,1555,0,6,4.0
0,365,4,13,4.0
0,1277,7,15,4.0
0,1555,0,6,3.0
0,3095,10,6,4.0
0,217,2,7,4.0
0,3119,11,10,4.0
0,4038,10,0,4.0
0,1708,0,2,4.0
0,2959,8,12,4.0
0,2621,2,9,5.0
0,3989,1,4,4.0
0,950,0,7,4.0
0,1720,2,17,4.0
0,4125,9,15,4.0
0,4538,1,15,4.0
1,2799,9,8,4.0
0,3559,4,8,4.0
0,2957,7,0,4.0
0,620,4,17,4.0
0,3254,9,10,4.0
0,848,11,0,4.0
0,1647,2,2,4.0
1,311,10,15,4.0
0,3938,5,4,4.0
0,2175,3,17,4.0
0,3436,6,13,4.0
0,3273,10,2,4.0
0,4453,11,14,4.0
0,2850,11,2,3.0
0,1657,6,12,4.0
1,4136,1,1,4.0
0,3287,7,6,4.0
1,58,7,5,4.0
0,1878,2,19,4.0
0,1296,10,15,4.0
0,2639,11,19,4.0
