name,duration_ms,explicit,popularity,artists,album_name,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,time_signature,n_beats,genre
Color Me In,181714,False,35,Mokita,Color Me In,11,-7.399,1.0,0.0956,3.73e-06,0.131,140.027,4.0,402.0,study
Adam,250682,False,37,Ishome,Confession,9,-12.463,0.0,0.061,0.875,0.0876,140.002,4.0,583.0,idm
Sirenas,184250,False,66,Taburete,Dr. Charas,5,-6.249,1.0,0.0404,0.0,0.109,126.976,4.0,373.0,spanish
Flux Of Sorrow,406000,False,4,Sote,Sacred Horror In Design,0,-10.82,0.0,0.0385,0.0553,0.213,79.955,4.0,536.0,iranian
The Archive,429540,False,20,Wormwood,Arkivet,9,-6.401,1.0,0.096,0.00104,0.111,136.047,4.0,969.0,black-metal
Você não vai Parar,249475,False,49,Samuel Messias,Planos de Deus,9,-7.792,1.0,0.0341,0.0,0.326,126.192,4.0,513.0,brazil
Speak My Mind - Original Mix,288000,False,20,Evil Activities;Furyan,Speak My Mind,6,-3.345,0.0,0.0797,0.0219,0.0778,94.986,4.0,449.0,happy
Sonne,272440,False,80,Rammstein,Mutter,4,-4.806,0.0,0.0854,0.000133,0.396,75.098,4.0,337.0,industrial
Skin Tone,166017,False,39,Timothy Infinite,Sudden Impulses,6,-6.697,0.0,0.0731,0.883,0.131,83.741,4.0,226.0,study
WandaVision!,53626,False,39,Kristen Anderson-Lopez;Robert Lopez;Sara Mann;Jessica Rotter;Cindy Bourquin;Elyse Willis;Laura Dickinson;Eric Bradley;Greg Whipple;Jasper Randall;Gerald White,WandaVision: Episode 2 (Original Soundtrack),2,-4.956,0.0,0.0344,0.0,0.16,171.153,4.0,138.0,disney
Hymn Of Heaven - Acoustic,288345,False,40,Phil Wickham,Hymn Of Heaven (Acoustic Sessions),2,-10.822,1.0,0.0289,0.0,0.112,139.63,4.0,648.0,forro
Tiderays,220022,False,0,Nils Hoffmann,Armada Electronic Elements - ADE 2022,8,-10.244,1.0,0.0484,0.885,0.148,120.03,4.0,436.0,techno
Up Up Up - Original Mix,220312,False,19,OnDaMiKe,Booty Rok (EP),11,-2.567,1.0,0.0528,0.639,0.0475,128.006,4.0,464.0,breakbeat
A Place To Start,135593,False,27,Fires In The Dark,A Place To Start,3,-15.044,0.0,0.0844,0.908,0.12,141.526,4.0,318.0,study
Somebody Touched Me,145400,False,25,The Dillards,Back Porch Bluegrass,11,-11.771,1.0,0.0373,0.0,0.333,154.161,4.0,362.0,bluegrass
Pretty Girl from Cedar Lane,201306,False,28,The Avett Brothers,Mignonette,7,-4.642,1.0,0.0388,0.00164,0.158,103.266,4.0,329.0,bluegrass
The Nightraver Strikes Again,242694,False,17,The Nightraver,We're From Rotterdam,8,-9.684,1.0,0.0869,0.000404,0.134,174.843,4.0,703.0,happy
角を曲がる,195253,False,19,Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),2,-4.95,1.0,0.0384,0.0377,0.0971,141.934,4.0,442.0,j-idol
Tabú,179774,False,60,Pablo Alborán;Ava Max,Tabú,9,-5.943,0.0,0.0619,3.66e-05,0.11,99.997,4.0,291.0,spanish
Mirabel's Discovery,176493,False,22,Germaine Franco,Encanto (Trilha Sonora Original em Português),1,-14.716,1.0,0.0493,0.896,0.0476,76.947,3.0,216.0,disney
Voila!,191840,False,23,Stuart Duncan;Edgar Meyer;Chris Thile;Yo-Yo Ma,Not Our First Goat Rodeo,5,-14.142,1.0,0.0384,0.729,0.0841,104.936,3.0,325.0,bluegrass
Tô na Vaquejada,172695,False,41,Rafinha o Big Love;Thiago Aquino,Tô na Vaquejada,7,-5.331,1.0,0.0374,1.45e-06,0.157,141.996,4.0,405.0,forro
Fikar Not,189073,False,52,Pritam;Nakash Aziz;Dev Negi;Amit Mishra;Amitabh Bhattacharya;Sreerama Chandra;Antara Mitra,Chhichhore,5,-6.826,0.0,0.0859,0.0019,0.058,185.889,3.0,579.0,indian
Go Back,337493,False,0,Tony Allen;Damon Albarn,Été jazz,7,-6.49,0.0,0.154,0.165,0.512,82.34,1.0,464.0,afrobeat
Faithful Now,234560,False,58,Vertical Worship,Grace Is On Our Side,11,-6.062,1.0,0.0436,0.0,0.158,73.354,4.0,276.0,afrobeat
DNA狂詩曲 -ZZ ver.-,260506,False,28,Momoiro Clover Z,ZZ's,0,-1.844,1.0,0.113,0.00641,0.313,169.821,4.0,719.0,j-idol
