clustering type,value
kMeans=2,0.21762827624022296
kMeans=3,0.1544115941500269
kMeans=4,0.16046299477602496
kMeans=5,0.145648826939541
kMeans=6,0.15130267546631332
kMeans=7,0.14374892604511177
kMeans=8,0.15305381679607827
kMeans=9,0.15184795441918147
kMeans=10,0.13898458637278527
kMeans=11,0.13556419956864726
kMeans=12,0.13597520845186226
kMeans=13,0.13374908926196705
kMeans=14,0.13401257599336616
kMeans=15,0.13181517857805491
kMeans=16,0.13502209658018718
kMeans=17,0.12741208863590148
kMeans=18,0.12887148610763666
kMeans=19,0.12980273108068746
kMeans=20,0.12708312897642388
kMeans=21,0.1282779364199614
kMeans=22,0.1258567634568987
kMeans=23,0.12348066789157917
kMeans=24,0.12489396897737423
kMeans=25,0.12572852290833178
kMeans=26,0.12359065423758747
kMeans=27,0.12271826184632954
kMeans=28,0.1183627102325088
kMeans=29,0.12120203431982547
kMeans=30,0.11854193388263627
kMeans=31,0.11775888343262034
kMeans=32,0.11894631323593287
kMeans=33,0.11824732568738831
kMeans=34,0.11501605211854594
kMeans=35,0.11673362067839532
kMeans=36,0.11906854829826467
kMeans=37,0.11678423144037908
kMeans=38,0.11699338976986556
kMeans=39,0.11747911955046444
kMeans=40,0.11574747086725257
kMeans=41,0.11627377883814324
kMeans=42,0.11478535685680928
kMeans=43,0.11502524406896554
kMeans=44,0.11429554670099035
kMeans=45,0.11502496145281027
kMeans=46,0.11324837347548414
kMeans=47,0.11301212324841957
kMeans=48,0.11368348133032098
kMeans=49,0.11730475083078461
kMeans=50,0.11138858913756837
bisectingKmeans=2,0.21762827624022296
bisectingKmeans=3,0.14711225456365393
bisectingKmeans=4,0.14145300066011426
bisectingKmeans=5,0.13782369293295
bisectingKmeans=6,0.1182899056652114
bisectingKmeans=7,0.1064721362748486
bisectingKmeans=8,0.09846563134429195
bisectingKmeans=9,0.10956959237524301
bisectingKmeans=10,0.10958142083438019
bisectingKmeans=11,0.10805990074353154
bisectingKmeans=12,0.09753325913429603
bisectingKmeans=13,0.08365814934348434
bisectingKmeans=14,0.07717018414566287
bisectingKmeans=15,0.07394272319262811
bisectingKmeans=16,0.07448662556007574
bisectingKmeans=17,0.077858978433769
bisectingKmeans=18,0.07656783000010058
bisectingKmeans=19,0.07618570959787951
bisectingKmeans=20,0.07615301850638868
bisectingKmeans=21,0.07493417189178511
bisectingKmeans=22,0.07551630017649247
bisectingKmeans=23,0.07216668725040562
bisectingKmeans=24,0.06869852415499007
bisectingKmeans=25,0.06969508992274527
bisectingKmeans=26,0.08109471255581173
bisectingKmeans=27,0.06710074038961394
bisectingKmeans=28,0.07240446091457364
bisectingKmeans=29,0.07451946281281083
bisectingKmeans=30,0.07259966811762535
bisectingKmeans=31,0.07234408007734945
bisectingKmeans=32,0.07062174183088085
bisectingKmeans=33,0.07122225446478501
bisectingKmeans=34,0.06992599406102003
bisectingKmeans=35,0.07192308227311715
bisectingKmeans=36,0.0690594332751415
bisectingKmeans=37,0.06796435513032084
bisectingKmeans=38,0.06959782945120177
bisectingKmeans=39,0.06934304403139954
bisectingKmeans=40,0.06230058580226507
bisectingKmeans=41,0.0646455793826232
bisectingKmeans=42,0.06453101747489258
bisectingKmeans=43,0.061950214869376
bisectingKmeans=44,0.06537287853911958
bisectingKmeans=45,0.061713599449316724
bisectingKmeans=46,0.06067245705717392
bisectingKmeans=47,0.06679333352716517
bisectingKmeans=48,0.06025343881867423
bisectingKmeans=49,0.05927336927838051
bisectingKmeans=50,0.06339206194566661
kModes=2,0.022718772899029124
kModes=3,-0.009057342350219369
kModes=4,-0.03149426880229459
kModes=5,-0.050351710305203086
kModes=6,-0.051363475787111874
kModes=7,-0.05065840413880574
kModes=8,-0.051533626984681696
kModes=9,-0.05073604351729172
kModes=10,-0.04983329407854891
kModes=11,-0.049628964503020866
kModes=12,-0.05089790902511278
kModes=13,-0.10472170422809021
kModes=14,-0.10714374439067861
kModes=15,-0.12906395867442683
kModes=16,-0.14523235744296703
kModes=17,-0.1750892345119955
kModes=18,-0.17688447903429347
kModes=19,-0.17684559301696087
kModes=20,-0.17869616296120272
kModes=21,-0.17827288839310784
kModes=22,-0.18547031490168095
kModes=23,-0.18537890944125465
kModes=24,-0.1870785643140565
kModes=25,-0.18785541214905954
kModes=26,-0.1893444142190782
kModes=27,-0.20262929763519297
kModes=28,-0.20520318583214425
kModes=29,-0.20418145190044693
kModes=30,-0.20696566776314992
kModes=31,-0.20757775745724363
kModes=32,-0.206389476475204
kModes=33,-0.2063955739090499
kModes=34,-0.2052455866446529
kModes=35,-0.20477501949738447
kModes=36,-0.204859734533987
kModes=37,-0.20403008232825276
kModes=38,-0.20320920450372038
kModes=39,-0.20200244921767527
kModes=40,-0.20128430457662505
kModes=41,-0.19984703624086428
kModes=42,-0.1993296829114324
kModes=43,-0.19840908815308683
kModes=44,-0.1971748402764528
kModes=45,-0.19569824365881314
kModes=46,-0.19373981743879207
kModes=47,-0.19273867536843742
kModes=48,-0.19115014206193054
kModes=49,-0.19396457097392988
kModes=50,-0.19678631713764472
mixtureGaussian nComponents= 2 tol=0.01,0.07754471640244019
mixtureGaussian nComponents= 2 tol=0.001,0.0732389263669304
mixtureGaussian nComponents= 2 tol=0.0001,0.07001462726564055
mixtureGaussian nComponents= 2 tol=1e-05,0.06928431882717676
mixtureGaussian nComponents= 3 tol=0.01,0.06449170852298042
mixtureGaussian nComponents= 3 tol=0.001,0.06294889887515641
mixtureGaussian nComponents= 3 tol=0.0001,0.061149887558462256
mixtureGaussian nComponents= 3 tol=1e-05,0.06079876524869156
mixtureGaussian nComponents= 4 tol=0.01,0.05900942182344816
mixtureGaussian nComponents= 4 tol=0.001,0.055535374000097275
mixtureGaussian nComponents= 4 tol=0.0001,0.053540627584246665
mixtureGaussian nComponents= 4 tol=1e-05,0.05458616686258058
mixtureGaussian nComponents= 5 tol=0.01,0.048938434511377596
mixtureGaussian nComponents= 5 tol=0.001,0.045944913860065995
mixtureGaussian nComponents= 5 tol=0.0001,0.04940281481446092
mixtureGaussian nComponents= 5 tol=1e-05,0.04976772875849965
mixtureGaussian nComponents= 6 tol=0.01,0.04253314449731721
mixtureGaussian nComponents= 6 tol=0.001,0.036520986746806115
mixtureGaussian nComponents= 6 tol=0.0001,0.03588394184946909
mixtureGaussian nComponents= 6 tol=1e-05,0.029938190992456044
mixtureGaussian nComponents= 7 tol=0.01,0.043684655192149126
mixtureGaussian nComponents= 7 tol=0.001,0.0384498079393402
mixtureGaussian nComponents= 7 tol=0.0001,0.022367847299752525
mixtureGaussian nComponents= 7 tol=1e-05,0.021763430258640627
mixtureGaussian nComponents= 8 tol=0.01,0.03563853516427425
mixtureGaussian nComponents= 8 tol=0.001,0.01353857270203844
mixtureGaussian nComponents= 8 tol=0.0001,0.032586361746927625
mixtureGaussian nComponents= 8 tol=1e-05,0.03244004461321949
mixtureGaussian nComponents= 9 tol=0.01,-0.013138389816321016
mixtureGaussian nComponents= 9 tol=0.001,0.0309234066357442
mixtureGaussian nComponents= 9 tol=0.0001,0.0042608650430854406
mixtureGaussian nComponents= 9 tol=1e-05,0.004407068403913673
mixtureGaussian nComponents= 10 tol=0.01,-0.007862526422441056
mixtureGaussian nComponents= 10 tol=0.001,-0.0012748894104150394
mixtureGaussian nComponents= 10 tol=0.0001,0.0031789946962206047
mixtureGaussian nComponents= 10 tol=1e-05,-0.006741163621110741
mixtureGaussian nComponents= 11 tol=0.01,0.005765938844996316
mixtureGaussian nComponents= 11 tol=0.001,0.004682880726850428
mixtureGaussian nComponents= 11 tol=0.0001,-0.0069140462829466575
mixtureGaussian nComponents= 11 tol=1e-05,0.010230878641026307
mixtureGaussian nComponents= 12 tol=0.01,0.013762788394786002
mixtureGaussian nComponents= 12 tol=0.001,0.017965440970271456
mixtureGaussian nComponents= 12 tol=0.0001,-0.0041513899328571024
mixtureGaussian nComponents= 12 tol=1e-05,0.010474984650732376
mixtureGaussian nComponents= 13 tol=0.01,-0.017539107553450083
mixtureGaussian nComponents= 13 tol=0.001,-0.025120456548811173
mixtureGaussian nComponents= 13 tol=0.0001,-0.012615830138166684
mixtureGaussian nComponents= 13 tol=1e-05,-0.013750612436303067
mixtureGaussian nComponents= 14 tol=0.01,-0.005913506115461996
mixtureGaussian nComponents= 14 tol=0.001,-0.009134718335253604
mixtureGaussian nComponents= 14 tol=0.0001,-0.010252704000210321
mixtureGaussian nComponents= 14 tol=1e-05,-0.009644190977015896
mixtureGaussian nComponents= 15 tol=0.01,-0.020259528929024093
mixtureGaussian nComponents= 15 tol=0.001,-0.007198774103156673
mixtureGaussian nComponents= 15 tol=0.0001,-0.006712664049512614
mixtureGaussian nComponents= 15 tol=1e-05,-0.01181872157843169
mixtureGaussian nComponents= 16 tol=0.01,-0.007834303793488899
mixtureGaussian nComponents= 16 tol=0.001,-0.012443833355095099
mixtureGaussian nComponents= 16 tol=0.0001,-0.022201896760423136
mixtureGaussian nComponents= 16 tol=1e-05,-0.014984962413783253
mixtureGaussian nComponents= 17 tol=0.01,-0.02237817699589753
mixtureGaussian nComponents= 17 tol=0.001,-0.015181424873374053
mixtureGaussian nComponents= 17 tol=0.0001,-0.02070564275962275
mixtureGaussian nComponents= 17 tol=1e-05,-0.021680256521371833
mixtureGaussian nComponents= 18 tol=0.01,-0.015958192984312027
mixtureGaussian nComponents= 18 tol=0.001,-0.019995569626247923
mixtureGaussian nComponents= 18 tol=0.0001,-0.021048656567588402
mixtureGaussian nComponents= 18 tol=1e-05,-0.02145998967230068
mixtureGaussian nComponents= 19 tol=0.01,-0.022814885064965762
mixtureGaussian nComponents= 19 tol=0.001,-0.0165574990777475
mixtureGaussian nComponents= 19 tol=0.0001,-0.008163337270078053
mixtureGaussian nComponents= 19 tol=1e-05,-0.02417725418026153
dbscan min_samples=1 eps=0.1,0.0018600365529608165
dbscan min_samples=1 eps=0.5,0.014258912653322442
dbscan min_samples=1 eps=1,-0.2442360233315433
dbscan min_samples=1 eps=1.5,-0.46419933221312265
dbscan min_samples=1 eps=2,-0.2844860996731948
dbscan min_samples=1 eps=2.5,0.03306295327223034
dbscan min_samples=1 eps=3,0.3280934440447763
dbscan min_samples=2 eps=0.1,0.9867554252330297
dbscan min_samples=2 eps=0.5,0.6113454639701218
dbscan min_samples=2 eps=1,-0.311491689669068
dbscan min_samples=2 eps=1.5,-0.3556379994881157
dbscan min_samples=2 eps=2,-0.06276198475390155
dbscan min_samples=2 eps=2.5,0.17021446571042634
dbscan min_samples=2 eps=3,0.562171608232264
dbscan min_samples=3 eps=0.1,-1
dbscan min_samples=3 eps=0.5,0.5557935387191842
dbscan min_samples=3 eps=1,-0.32420446386863294
dbscan min_samples=3 eps=1.5,-0.2360815111685935
dbscan min_samples=3 eps=2,0.17782994101667687
dbscan min_samples=3 eps=2.5,0.5753035819758051
dbscan min_samples=3 eps=3,-1
dbscan min_samples=4 eps=0.1,-1
dbscan min_samples=4 eps=0.5,0.5382481553267426
dbscan min_samples=4 eps=1,-0.31426647865848134
dbscan min_samples=4 eps=1.5,-0.13101749083838363
dbscan min_samples=4 eps=2,0.24927352233659886
dbscan min_samples=4 eps=2.5,-1
dbscan min_samples=4 eps=3,-1
dbscan min_samples=5 eps=0.1,-1
dbscan min_samples=5 eps=0.5,0.43011561596446884
dbscan min_samples=5 eps=1,-0.25861325687075254
dbscan min_samples=5 eps=1.5,-0.027841789205660366
dbscan min_samples=5 eps=2,0.3418271156997334
dbscan min_samples=5 eps=2.5,-1
dbscan min_samples=5 eps=3,-1
dbscan min_samples=6 eps=0.1,-1
dbscan min_samples=6 eps=0.5,0.4267945771824612
dbscan min_samples=6 eps=1,-0.27831864369132536
dbscan min_samples=6 eps=1.5,-0.0798429524465145
dbscan min_samples=6 eps=2,0.3430146912398343
dbscan min_samples=6 eps=2.5,-1
dbscan min_samples=6 eps=3,-1
dbscan min_samples=7 eps=0.1,-1
dbscan min_samples=7 eps=0.5,0.9184237747949154
dbscan min_samples=7 eps=1,-0.22358541073349883
dbscan min_samples=7 eps=1.5,-0.08483219879121336
dbscan min_samples=7 eps=2,0.34364457761605555
dbscan min_samples=7 eps=2.5,-1
dbscan min_samples=7 eps=3,-1
dbscan min_samples=8 eps=0.1,-1
dbscan min_samples=8 eps=0.5,-1
dbscan min_samples=8 eps=1,-0.26352960266189035
dbscan min_samples=8 eps=1.5,0.050952360161444436
dbscan min_samples=8 eps=2,0.2950900547687253
dbscan min_samples=8 eps=2.5,-1
dbscan min_samples=8 eps=3,-1
dbscan min_samples=9 eps=0.1,-1
dbscan min_samples=9 eps=0.5,-1
dbscan min_samples=9 eps=1,-0.13408316534299403
dbscan min_samples=9 eps=1.5,0.21650184938560546
dbscan min_samples=9 eps=2,0.32013393567987763
dbscan min_samples=9 eps=2.5,-1
dbscan min_samples=9 eps=3,-1
dbscan min_samples=10 eps=0.1,-1
dbscan min_samples=10 eps=0.5,-1
dbscan min_samples=10 eps=1,-0.13917657924136784
dbscan min_samples=10 eps=1.5,0.16979835561845283
dbscan min_samples=10 eps=2,0.32052594314259053
dbscan min_samples=10 eps=2.5,-1
dbscan min_samples=10 eps=3,-1
dbscan min_samples=11 eps=0.1,-1
dbscan min_samples=11 eps=0.5,-1
dbscan min_samples=11 eps=1,0.12113250475757366
dbscan min_samples=11 eps=1.5,0.20844761026752767
dbscan min_samples=11 eps=2,0.3212082626077185
dbscan min_samples=11 eps=2.5,-1
dbscan min_samples=11 eps=3,-1
dbscan min_samples=12 eps=0.1,-1
dbscan min_samples=12 eps=0.5,-1
dbscan min_samples=12 eps=1,-0.08761924481364801
dbscan min_samples=12 eps=1.5,-1
dbscan min_samples=12 eps=2,0.19189971514474402
dbscan min_samples=12 eps=2.5,-1
dbscan min_samples=12 eps=3,-1
dbscan min_samples=13 eps=0.1,-1
dbscan min_samples=13 eps=0.5,-1
dbscan min_samples=13 eps=1,-0.12294358102199168
dbscan min_samples=13 eps=1.5,-1
dbscan min_samples=13 eps=2,0.18284924335196892
dbscan min_samples=13 eps=2.5,-1
dbscan min_samples=13 eps=3,-1
dbscan min_samples=14 eps=0.1,-1
dbscan min_samples=14 eps=0.5,-1
dbscan min_samples=14 eps=1,-0.07879682410736888
dbscan min_samples=14 eps=1.5,0.2606176069792237
dbscan min_samples=14 eps=2,0.18353298617338987
dbscan min_samples=14 eps=2.5,-1
dbscan min_samples=14 eps=3,-1
dbscan min_samples=15 eps=0.1,-1
dbscan min_samples=15 eps=0.5,-1
dbscan min_samples=15 eps=1,-0.013400871229291839
dbscan min_samples=15 eps=1.5,0.2436140518787753
dbscan min_samples=15 eps=2,0.18280309995051713
dbscan min_samples=15 eps=2.5,-1
dbscan min_samples=15 eps=3,-1
dbscan min_samples=16 eps=0.1,-1
dbscan min_samples=16 eps=0.5,-1
dbscan min_samples=16 eps=1,-0.017035605371691905
dbscan min_samples=16 eps=1.5,0.24077432023205436
dbscan min_samples=16 eps=2,0.1833897801297287
dbscan min_samples=16 eps=2.5,-1
dbscan min_samples=16 eps=3,-1
dbscan min_samples=17 eps=0.1,-1
dbscan min_samples=17 eps=0.5,-1
dbscan min_samples=17 eps=1,-0.021735952875778862
dbscan min_samples=17 eps=1.5,0.242438048330099
dbscan min_samples=17 eps=2,0.3211703197651396
dbscan min_samples=17 eps=2.5,-1
dbscan min_samples=17 eps=3,-1
dbscan min_samples=18 eps=0.1,-1
dbscan min_samples=18 eps=0.5,-1
dbscan min_samples=18 eps=1,0.17381765016202136
dbscan min_samples=18 eps=1.5,0.07092369590469223
dbscan min_samples=18 eps=2,-1
dbscan min_samples=18 eps=2.5,-1
dbscan min_samples=18 eps=3,-1
dbscan min_samples=19 eps=0.1,-1
dbscan min_samples=19 eps=0.5,-1
dbscan min_samples=19 eps=1,0.20204247776897877
dbscan min_samples=19 eps=1.5,9.162971467927511e-05
dbscan min_samples=19 eps=2,-1
dbscan min_samples=19 eps=2.5,-1
dbscan min_samples=19 eps=3,-1
hdbscan min_samples50,0.5540816803332407
hdbscan min_samples51,0.5562387079984319
hdbscan min_samples52,0.5614808492436564
hdbscan min_samples53,0.5625918498227257
hdbscan min_samples54,0.5635454508170106
hdbscan min_samples55,0.5632857178969356
hdbscan min_samples56,0.5634053747394246
hdbscan min_samples57,0.5643024268437791
hdbscan min_samples58,0.561520652745543
hdbscan min_samples59,0.5549869049152709
hdbscan min_samples60,0.554261455930804
hdbscan min_samples61,0.5564704843655373
hdbscan min_samples62,0.5480690152225095
hdbscan min_samples63,0.5434548196245611
hdbscan min_samples64,0.5446086358646084
hdbscan min_samples65,0.5472775238615127
hdbscan min_samples66,0.550354862513504
hdbscan min_samples67,0.5473841359842812
hdbscan min_samples68,0.5483434526175454
hdbscan min_samples69,0.5494933367993782
hdbscan min_samples70,0.5495823356728252
hdbscan min_samples71,0.55226036410697
hdbscan min_samples72,0.5516690211824504
hdbscan min_samples73,0.531443425916845
hdbscan min_samples74,0.533428007614529
hdbscan min_samples75,0.5348305262231798
hdbscan min_samples76,0.5351663953558313
hdbscan min_samples77,0.5356287283668569
hdbscan min_samples78,0.5478146993935795
hdbscan min_samples79,0.548690021538648
hdbscan min_samples80,0.5507614534155356
hdbscan min_samples81,0.551690635376531
hdbscan min_samples82,0.5532641293847654
hdbscan min_samples83,0.5471483009529573
hdbscan min_samples84,0.5490098993207503
hdbscan min_samples85,0.5500222431019722
hdbscan min_samples86,0.5489463727109812
hdbscan min_samples87,0.5479653902120115
hdbscan min_samples88,0.5476173808994267
hdbscan min_samples89,0.548726447254345
hdbscan min_samples90,0.5496606266852037
hdbscan min_samples91,-1
hdbscan min_samples92,-1
hdbscan min_samples93,-1
hdbscan min_samples94,-1
hdbscan min_samples95,-1
hdbscan min_samples96,-1
hdbscan min_samples97,-1
hdbscan min_samples98,-1
hdbscan min_samples99,-1
hdbscan min_samples100,-1
hdbscan min_samples101,-1
hdbscan min_samples102,-1
hdbscan min_samples103,-1
hdbscan min_samples104,-1
hdbscan min_samples105,-1
hdbscan min_samples106,-1
hdbscan min_samples107,-1
hdbscan min_samples108,-1
hdbscan min_samples109,-1
hdbscan min_samples110,-1
hdbscan min_samples111,-1
hdbscan min_samples112,-1
hdbscan min_samples113,-1
hdbscan min_samples114,-1
hdbscan min_samples115,-1
hdbscan min_samples116,-1
hdbscan min_samples117,-1
hdbscan min_samples118,-1
hdbscan min_samples119,-1
hdbscan min_samples120,-1
hdbscan min_samples121,-1
hdbscan min_samples122,-1
hdbscan min_samples123,-1
hdbscan min_samples124,-1
hdbscan min_samples125,-1
hdbscan min_samples126,-1
hdbscan min_samples127,-1
hdbscan min_samples128,-1
hdbscan min_samples129,-1
hdbscan min_samples130,-1
hdbscan min_samples131,-1
hdbscan min_samples132,-1
hdbscan min_samples133,-1
hdbscan min_samples134,-1
hdbscan min_samples135,-1
hdbscan min_samples136,-1
hdbscan min_samples137,-1
hdbscan min_samples138,-1
hdbscan min_samples139,-1
hdbscan min_samples140,-1
hdbscan min_samples141,-1
hdbscan min_samples142,-1
hdbscan min_samples143,-1
hdbscan min_samples144,-1
hdbscan min_samples145,-1
hdbscan min_samples146,-1
hdbscan min_samples147,-1
hdbscan min_samples148,-1
hdbscan min_samples149,-1
hdbscan min_samples150,-1
hdbscan min_samples151,-1
hdbscan min_samples152,-1
hdbscan min_samples153,-1
hdbscan min_samples154,-1
hdbscan min_samples155,-1
hdbscan min_samples156,-1
hdbscan min_samples157,-1
hdbscan min_samples158,-1
hdbscan min_samples159,-1
hdbscan min_samples160,-1
hdbscan min_samples161,-1
hdbscan min_samples162,-1
hdbscan min_samples163,-1
hdbscan min_samples164,-1
hdbscan min_samples165,-1
hdbscan min_samples166,-1
hdbscan min_samples167,-1
hdbscan min_samples168,-1
hdbscan min_samples169,-1
hdbscan min_samples170,-1
hdbscan min_samples171,-1
hdbscan min_samples172,-1
hdbscan min_samples173,-1
hdbscan min_samples174,-1
hdbscan min_samples175,-1
hdbscan min_samples176,-1
hdbscan min_samples177,-1
hdbscan min_samples178,-1
hdbscan min_samples179,-1
hdbscan min_samples180,-1
hdbscan min_samples181,-1
hdbscan min_samples182,-1
hdbscan min_samples183,-1
hdbscan min_samples184,-1
hdbscan min_samples185,-1
hdbscan min_samples186,-1
hdbscan min_samples187,-1
hdbscan min_samples188,-1
hdbscan min_samples189,-1
hdbscan min_samples190,-1
hdbscan min_samples191,-1
hdbscan min_samples192,-1
hdbscan min_samples193,-1
hdbscan min_samples194,-1
hdbscan min_samples195,-1
hdbscan min_samples196,-1
hdbscan min_samples197,-1
hdbscan min_samples198,-1
hdbscan min_samples199,-1
hdbscan min_samples200,-1
