clustering type,value
kMeans=2,0.21762827624022296
kMeans=3,0.1544115941500269
kMeans=4,0.16046299477602496
kMeans=5,0.145648826939541
kMeans=6,0.15130267546631332
kMeans=7,0.14374892604511177
kMeans=8,0.15305381679607827
kMeans=9,0.15184795441918147
kMeans=10,0.13898458637278527
kMeans=11,0.13556419956864726
kMeans=12,0.13597520845186226
kMeans=13,0.13374908926196705
kMeans=14,0.13401257599336616
kMeans=15,0.13181517857805491
kMeans=16,0.13502209658018718
kMeans=17,0.12741208863590148
kMeans=18,0.12887148610763666
kMeans=19,0.12980273108068746
kMeans=20,0.12708312897642388
kMeans=21,0.1282779364199614
kMeans=22,0.1258567634568987
kMeans=23,0.12348066789157917
kMeans=24,0.12489396897737423
kMeans=25,0.12572852290833178
kMeans=26,0.12359065423758747
kMeans=27,0.12271826184632954
kMeans=28,0.1183627102325088
kMeans=29,0.12120203431982547
kMeans=30,0.11854193388263627
kMeans=31,0.11775888343262034
kMeans=32,0.11894631323593287
kMeans=33,0.11824732568738831
kMeans=34,0.11501605211854594
kMeans=35,0.11673362067839532
kMeans=36,0.11906854829826467
kMeans=37,0.11678423144037908
kMeans=38,0.11699338976986556
kMeans=39,0.11747911955046444
kMeans=40,0.11574747086725257
kMeans=41,0.11627377883814324
kMeans=42,0.11478535685680928
kMeans=43,0.11502524406896554
kMeans=44,0.11429554670099035
kMeans=45,0.11502496145281027
kMeans=46,0.11324837347548414
kMeans=47,0.11301212324841957
kMeans=48,0.11368348133032098
kMeans=49,0.11730475083078461
kMeans=50,0.11138858913756837
bisectingKmeans=2,0.21762827624022296
bisectingKmeans=3,0.14711225456365393
bisectingKmeans=4,0.14145300066011426
bisectingKmeans=5,0.13782369293295
bisectingKmeans=6,0.1182899056652114
bisectingKmeans=7,0.1064721362748486
bisectingKmeans=8,0.09846563134429195
bisectingKmeans=9,0.10956959237524301
bisectingKmeans=10,0.10958142083438019
bisectingKmeans=11,0.10805990074353154
bisectingKmeans=12,0.09753325913429603
bisectingKmeans=13,0.08365814934348434
bisectingKmeans=14,0.07717018414566287
bisectingKmeans=15,0.07394272319262811
bisectingKmeans=16,0.07448662556007574
bisectingKmeans=17,0.077858978433769
bisectingKmeans=18,0.07656783000010058
bisectingKmeans=19,0.07618570959787951
bisectingKmeans=20,0.07615301850638868
bisectingKmeans=21,0.07493417189178511
bisectingKmeans=22,0.07551630017649247
bisectingKmeans=23,0.07216668725040562
bisectingKmeans=24,0.06869852415499007
bisectingKmeans=25,0.06969508992274527
bisectingKmeans=26,0.08109471255581173
bisectingKmeans=27,0.06710074038961394
bisectingKmeans=28,0.07240446091457364
bisectingKmeans=29,0.07451946281281083
bisectingKmeans=30,0.07259966811762535
bisectingKmeans=31,0.07234408007734945
bisectingKmeans=32,0.07062174183088085
bisectingKmeans=33,0.07122225446478501
bisectingKmeans=34,0.06992599406102003
bisectingKmeans=35,0.07192308227311715
bisectingKmeans=36,0.0690594332751415
bisectingKmeans=37,0.06796435513032084
bisectingKmeans=38,0.06959782945120177
bisectingKmeans=39,0.06934304403139954
bisectingKmeans=40,0.06230058580226507
bisectingKmeans=41,0.0646455793826232
bisectingKmeans=42,0.06453101747489258
bisectingKmeans=43,0.061950214869376
bisectingKmeans=44,0.06537287853911958
bisectingKmeans=45,0.061713599449316724
bisectingKmeans=46,0.06067245705717392
bisectingKmeans=47,0.06679333352716517
bisectingKmeans=48,0.06025343881867423
bisectingKmeans=49,0.05927336927838051
bisectingKmeans=50,0.06339206194566661
kModes=2,0.022718772899029124
kModes=3,-0.009057342350219369
kModes=4,-0.03149426880229459
kModes=5,-0.050351710305203086
kModes=6,-0.051363475787111874
kModes=7,-0.05065840413880574
kModes=8,-0.051533626984681696
kModes=9,-0.05073604351729172
kModes=10,-0.04983329407854891
kModes=11,-0.049628964503020866
kModes=12,-0.05089790902511278
kModes=13,-0.10472170422809021
kModes=14,-0.10714374439067861
kModes=15,-0.12906395867442683
kModes=16,-0.14523235744296703
kModes=17,-0.1750892345119955
kModes=18,-0.17688447903429347
kModes=19,-0.17684559301696087
kModes=20,-0.17869616296120272
kModes=21,-0.17827288839310784
kModes=22,-0.18547031490168095
kModes=23,-0.18537890944125465
kModes=24,-0.1870785643140565
kModes=25,-0.18785541214905954
kModes=26,-0.1893444142190782
kModes=27,-0.20262929763519297
kModes=28,-0.20520318583214425
kModes=29,-0.20418145190044693
kModes=30,-0.20696566776314992
kModes=31,-0.20757775745724363
kModes=32,-0.206389476475204
kModes=33,-0.2063955739090499
kModes=34,-0.2052455866446529
kModes=35,-0.20477501949738447
kModes=36,-0.204859734533987
kModes=37,-0.20403008232825276
kModes=38,-0.20320920450372038
kModes=39,-0.20200244921767527
kModes=40,-0.20128430457662505
kModes=41,-0.19984703624086428
kModes=42,-0.1993296829114324
kModes=43,-0.19840908815308683
kModes=44,-0.1971748402764528
kModes=45,-0.19569824365881314
kModes=46,-0.19373981743879207
kModes=47,-0.19273867536843742
kModes=48,-0.19115014206193054
kModes=49,-0.19396457097392988
kModes=50,-0.19678631713764472
mixtureGaussian nComponents= 2 tol=0.01,0.07754471640244019
mixtureGaussian nComponents= 2 tol=0.001,0.0732389263669304
mixtureGaussian nComponents= 2 tol=0.0001,0.07001462726564055
mixtureGaussian nComponents= 2 tol=1e-05,0.06928431882717676
mixtureGaussian nComponents= 3 tol=0.01,0.06449170852298042
mixtureGaussian nComponents= 3 tol=0.001,0.06294889887515641
mixtureGaussian nComponents= 3 tol=0.0001,0.061149887558462256
mixtureGaussian nComponents= 3 tol=1e-05,0.06079876524869156
mixtureGaussian nComponents= 4 tol=0.01,0.05900942182344816
mixtureGaussian nComponents= 4 tol=0.001,0.055535374000097275
mixtureGaussian nComponents= 4 tol=0.0001,0.053540627584246665
mixtureGaussian nComponents= 4 tol=1e-05,0.05458616686258058
mixtureGaussian nComponents= 5 tol=0.01,0.048938434511377596
mixtureGaussian nComponents= 5 tol=0.001,0.045944913860065995
mixtureGaussian nComponents= 5 tol=0.0001,0.04940281481446092
mixtureGaussian nComponents= 5 tol=1e-05,0.04976772875849965
mixtureGaussian nComponents= 6 tol=0.01,0.04253314449731721
mixtureGaussian nComponents= 6 tol=0.001,0.036520986746806115
mixtureGaussian nComponents= 6 tol=0.0001,0.03588394184946909
mixtureGaussian nComponents= 6 tol=1e-05,0.029938190992456044
mixtureGaussian nComponents= 7 tol=0.01,0.043684655192149126
mixtureGaussian nComponents= 7 tol=0.001,0.0384498079393402
mixtureGaussian nComponents= 7 tol=0.0001,0.022367847299752525
mixtureGaussian nComponents= 7 tol=1e-05,0.021763430258640627
mixtureGaussian nComponents= 8 tol=0.01,0.03563853516427425
mixtureGaussian nComponents= 8 tol=0.001,0.01353857270203844
mixtureGaussian nComponents= 8 tol=0.0001,0.032586361746927625
mixtureGaussian nComponents= 8 tol=1e-05,0.03244004461321949
mixtureGaussian nComponents= 9 tol=0.01,-0.013138389816321016
mixtureGaussian nComponents= 9 tol=0.001,0.0309234066357442
mixtureGaussian nComponents= 9 tol=0.0001,0.0042608650430854406
mixtureGaussian nComponents= 9 tol=1e-05,0.004407068403913673
mixtureGaussian nComponents= 10 tol=0.01,-0.007862526422441056
mixtureGaussian nComponents= 10 tol=0.001,-0.0012748894104150394
mixtureGaussian nComponents= 10 tol=0.0001,0.0031789946962206047
mixtureGaussian nComponents= 10 tol=1e-05,-0.006741163621110741
mixtureGaussian nComponents= 11 tol=0.01,0.005765938844996316
mixtureGaussian nComponents= 11 tol=0.001,0.004682880726850428
mixtureGaussian nComponents= 11 tol=0.0001,-0.0069140462829466575
mixtureGaussian nComponents= 11 tol=1e-05,0.010230878641026307
mixtureGaussian nComponents= 12 tol=0.01,0.013762788394786002
mixtureGaussian nComponents= 12 tol=0.001,0.017965440970271456
mixtureGaussian nComponents= 12 tol=0.0001,-0.0041513899328571024
mixtureGaussian nComponents= 12 tol=1e-05,0.010474984650732376
mixtureGaussian nComponents= 13 tol=0.01,-0.017539107553450083
mixtureGaussian nComponents= 13 tol=0.001,-0.025120456548811173
mixtureGaussian nComponents= 13 tol=0.0001,-0.012615830138166684
mixtureGaussian nComponents= 13 tol=1e-05,-0.013750612436303067
mixtureGaussian nComponents= 14 tol=0.01,-0.005913506115461996
mixtureGaussian nComponents= 14 tol=0.001,-0.009134718335253604
mixtureGaussian nComponents= 14 tol=0.0001,-0.010252704000210321
mixtureGaussian nComponents= 14 tol=1e-05,-0.009644190977015896
mixtureGaussian nComponents= 15 tol=0.01,-0.020259528929024093
mixtureGaussian nComponents= 15 tol=0.001,-0.007198774103156673
mixtureGaussian nComponents= 15 tol=0.0001,-0.006712664049512614
mixtureGaussian nComponents= 15 tol=1e-05,-0.01181872157843169
mixtureGaussian nComponents= 16 tol=0.01,-0.007834303793488899
mixtureGaussian nComponents= 16 tol=0.001,-0.012443833355095099
mixtureGaussian nComponents= 16 tol=0.0001,-0.022201896760423136
mixtureGaussian nComponents= 16 tol=1e-05,-0.014984962413783253
mixtureGaussian nComponents= 17 tol=0.01,-0.02237817699589753
mixtureGaussian nComponents= 17 tol=0.001,-0.015181424873374053
mixtureGaussian nComponents= 17 tol=0.0001,-0.02070564275962275
mixtureGaussian nComponents= 17 tol=1e-05,-0.021680256521371833
mixtureGaussian nComponents= 18 tol=0.01,-0.015958192984312027
mixtureGaussian nComponents= 18 tol=0.001,-0.019995569626247923
mixtureGaussian nComponents= 18 tol=0.0001,-0.021048656567588402
mixtureGaussian nComponents= 18 tol=1e-05,-0.02145998967230068
mixtureGaussian nComponents= 19 tol=0.01,-0.022814885064965762
mixtureGaussian nComponents= 19 tol=0.001,-0.0165574990777475
mixtureGaussian nComponents= 19 tol=0.0001,-0.008163337270078053
mixtureGaussian nComponents= 19 tol=1e-05,-0.02417725418026153
dbscan min_samples=1 eps=0.1,0.0018600365529608165
dbscan min_samples=1 eps=0.5,0.014258912653322442
dbscan min_samples=1 eps=1,-0.2442360233315433
dbscan min_samples=1 eps=1.5,-0.46419933221312265
dbscan min_samples=1 eps=2,-0.2844860996731948
dbscan min_samples=1 eps=2.5,0.03306295327223034
dbscan min_samples=1 eps=3,0.3280934440447763
dbscan min_samples=2 eps=0.1,0.9867554252330297
dbscan min_samples=2 eps=0.5,0.6113454639701218
dbscan min_samples=2 eps=1,-0.311491689669068
dbscan min_samples=2 eps=1.5,-0.3556379994881157
dbscan min_samples=2 eps=2,-0.06276198475390155
dbscan min_samples=2 eps=2.5,0.17021446571042634
dbscan min_samples=2 eps=3,0.562171608232264
dbscan min_samples=3 eps=0.1,-1
dbscan min_samples=3 eps=0.5,0.5557935387191842
dbscan min_samples=3 eps=1,-0.32420446386863294
dbscan min_samples=3 eps=1.5,-0.2360815111685935
dbscan min_samples=3 eps=2,0.17782994101667687
dbscan min_samples=3 eps=2.5,0.5753035819758051
