clustering type,value
hierarchicalCentroidLinkage threshold5 criterion=distance,0.1467138896908051
hierarchicalCentroidLinkage threshold10 criterion=distance,-1
hierarchicalCentroidLinkage threshold15 criterion=distance,-1
hierarchicalCentroidLinkage threshold20 criterion=distance,-1
hierarchicalCentroidLinkage threshold25 criterion=distance,-1
hierarchicalCentroidLinkage threshold30 criterion=distance,-1
hierarchicalCentroidLinkage threshold35 criterion=distance,-1
hierarchicalCentroidLinkage threshold40 criterion=distance,-1
hierarchicalCentroidLinkage threshold50 criterion=distance,-1
hierarchicalCentroidLinkage threshold5 criterion=maxclust,0.1467138896908051
hierarchicalCentroidLinkage threshold10 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold15 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold20 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold25 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold30 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold35 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold40 criterion=maxclust,-1
hierarchicalCentroidLinkage threshold50 criterion=maxclust,-1
hierarchicalCompleteLinkage threshold5 criterion=distance,0.03176891662747876
hierarchicalCompleteLinkage threshold10 criterion=distance,0.0630735546779945
hierarchicalCompleteLinkage threshold15 criterion=distance,0.2858216539355287
hierarchicalCompleteLinkage threshold20 criterion=distance,-1
hierarchicalCompleteLinkage threshold25 criterion=distance,-1
hierarchicalCompleteLinkage threshold30 criterion=distance,-1
hierarchicalCompleteLinkage threshold35 criterion=distance,-1
hierarchicalCompleteLinkage threshold40 criterion=distance,-1
hierarchicalCompleteLinkage threshold50 criterion=distance,-1
hierarchicalCompleteLinkage threshold5 criterion=maxclust,0.10435658877723272
hierarchicalCompleteLinkage threshold10 criterion=maxclust,0.06547166918053476
hierarchicalCompleteLinkage threshold15 criterion=maxclust,0.0484062072816937
hierarchicalCompleteLinkage threshold20 criterion=maxclust,0.05259695473173613
hierarchicalCompleteLinkage threshold25 criterion=maxclust,0.0458467843780189
hierarchicalCompleteLinkage threshold30 criterion=maxclust,0.038900895003151914
hierarchicalCompleteLinkage threshold35 criterion=maxclust,0.039710183442105085
hierarchicalCompleteLinkage threshold40 criterion=maxclust,0.03381864041042125
hierarchicalCompleteLinkage threshold50 criterion=maxclust,0.02519661549708397
hierarchicalSingleLinkage threshold5 criterion=distance,-1
hierarchicalSingleLinkage threshold10 criterion=distance,-1
hierarchicalSingleLinkage threshold15 criterion=distance,-1
hierarchicalSingleLinkage threshold20 criterion=distance,-1
hierarchicalSingleLinkage threshold25 criterion=distance,-1
hierarchicalSingleLinkage threshold30 criterion=distance,-1
hierarchicalSingleLinkage threshold35 criterion=distance,-1
hierarchicalSingleLinkage threshold40 criterion=distance,-1
hierarchicalSingleLinkage threshold50 criterion=distance,-1
hierarchicalSingleLinkage threshold5 criterion=maxclust,0.3397649091251541
hierarchicalSingleLinkage threshold10 criterion=maxclust,0.24867858649045854
hierarchicalSingleLinkage threshold15 criterion=maxclust,0.1314214286612668
hierarchicalSingleLinkage threshold20 criterion=maxclust,0.09377128978596945
hierarchicalSingleLinkage threshold25 criterion=maxclust,0.04450474892973
hierarchicalSingleLinkage threshold30 criterion=maxclust,0.03295625001665444
hierarchicalSingleLinkage threshold35 criterion=maxclust,0.0037186353003727437
hierarchicalSingleLinkage threshold40 criterion=maxclust,-0.010929442151984397
hierarchicalSingleLinkage threshold50 criterion=maxclust,-0.03913990728633256
hierarchicalGroupAverage threshold5 criterion=distance,0.08490819588073001
hierarchicalGroupAverage threshold10 criterion=distance,-1
hierarchicalGroupAverage threshold15 criterion=distance,-1
hierarchicalGroupAverage threshold20 criterion=distance,-1
hierarchicalGroupAverage threshold25 criterion=distance,-1
hierarchicalGroupAverage threshold30 criterion=distance,-1
hierarchicalGroupAverage threshold35 criterion=distance,-1
hierarchicalGroupAverage threshold40 criterion=distance,-1
hierarchicalGroupAverage threshold50 criterion=distance,-1
hierarchicalGroupAverage threshold5 criterion=maxclust,0.26756426136541306
hierarchicalGroupAverage threshold10 criterion=maxclust,0.11026973415439861
hierarchicalGroupAverage threshold15 criterion=maxclust,0.0696233265578833
hierarchicalGroupAverage threshold20 criterion=maxclust,0.05057817572881794
hierarchicalGroupAverage threshold25 criterion=maxclust,0.04724033309519264
hierarchicalGroupAverage threshold30 criterion=maxclust,0.0728215209985871
hierarchicalGroupAverage threshold35 criterion=maxclust,0.04309700316804436
hierarchicalGroupAverage threshold40 criterion=maxclust,0.032523407574762
hierarchicalGroupAverage threshold50 criterion=maxclust,0.03394826083610292
