clustering type,value
dbscan min_samples=1 eps=0.1,0.0018600365739457748
dbscan min_samples=1 eps=0.5,0.014258912674307407
dbscan min_samples=1 eps=1,-0.24423602332527738
dbscan min_samples=1 eps=1.5,-0.4641993322131226
dbscan min_samples=1 eps=2,-0.28448609967319466
dbscan min_samples=1 eps=2.5,0.03306295327223057
dbscan min_samples=1 eps=3,0.3280934440447766
dbscan min_samples=2 eps=0.1,-0.3720264769517341
dbscan min_samples=2 eps=0.5,-0.5495868443061944
dbscan min_samples=2 eps=1,-0.4553133927291609
dbscan min_samples=2 eps=1.5,-0.370517670864917
dbscan min_samples=2 eps=2,-0.06686522014440542
dbscan min_samples=2 eps=2.5,0.16868096784877226
dbscan min_samples=2 eps=3,0.49342497769774624
dbscan min_samples=3 eps=0.1,-1
dbscan min_samples=3 eps=0.5,-0.4184207499949362
dbscan min_samples=3 eps=1,-0.4539825638815303
dbscan min_samples=3 eps=1.5,-0.2551593379999951
dbscan min_samples=3 eps=2,0.16798067631674507
dbscan min_samples=3 eps=2.5,0.3881129797799925
dbscan min_samples=3 eps=3,0.5162087689033251
dbscan min_samples=4 eps=0.1,-1
dbscan min_samples=4 eps=0.5,-0.27796296985354896
dbscan min_samples=4 eps=1,-0.4503152504709014
dbscan min_samples=4 eps=1.5,-0.15281738715353457
dbscan min_samples=4 eps=2,0.21124413966669514
dbscan min_samples=4 eps=2.5,0.4029016088526939
dbscan min_samples=4 eps=3,0.5162087689033251
dbscan min_samples=5 eps=0.1,-1
dbscan min_samples=5 eps=0.5,-0.2666560386151354
dbscan min_samples=5 eps=1,-0.4155162313352357
dbscan min_samples=5 eps=1.5,-0.056643404644470915
dbscan min_samples=5 eps=2,0.2535506306913252
dbscan min_samples=5 eps=2.5,0.3978708468884501
dbscan min_samples=5 eps=3,0.5330489037023222
dbscan min_samples=6 eps=0.1,-1
dbscan min_samples=6 eps=0.5,-0.2315934234561486
dbscan min_samples=6 eps=1,-0.42225733780883407
dbscan min_samples=6 eps=1.5,-0.10587607757962272
dbscan min_samples=6 eps=2,0.25045016442786927
dbscan min_samples=6 eps=2.5,0.39364187848196425
dbscan min_samples=6 eps=3,0.5330489037023222
dbscan min_samples=7 eps=0.1,-1
dbscan min_samples=7 eps=0.5,-0.2292616035507383
dbscan min_samples=7 eps=1,-0.3817497561525763
dbscan min_samples=7 eps=1.5,-0.11913586985592131
dbscan min_samples=7 eps=2,0.24834456947145325
dbscan min_samples=7 eps=2.5,0.38872786533812276
dbscan min_samples=7 eps=3,0.5330489037023222
dbscan min_samples=8 eps=0.1,-1
dbscan min_samples=8 eps=0.5,0.375536925512835
dbscan min_samples=8 eps=1,-0.3845262751418031
dbscan min_samples=8 eps=1.5,0.004113633129804758
dbscan min_samples=8 eps=2,0.23199195400554878
dbscan min_samples=8 eps=2.5,0.38798784024703514
dbscan min_samples=8 eps=3,0.5317391370076598
dbscan min_samples=9 eps=0.1,-1
dbscan min_samples=9 eps=0.5,0.375536925512835
dbscan min_samples=9 eps=1,-0.30904644963745326
dbscan min_samples=9 eps=1.5,0.10571751620592582
dbscan min_samples=9 eps=2,0.2449024087023333
dbscan min_samples=9 eps=2.5,0.38478217278308186
dbscan min_samples=9 eps=3,0.5317262665089878
dbscan min_samples=10 eps=0.1,-1
dbscan min_samples=10 eps=0.5,-1
dbscan min_samples=10 eps=1,-0.28665193091198315
dbscan min_samples=10 eps=1.5,0.07211000987779724
dbscan min_samples=10 eps=2,0.24227566219981567
dbscan min_samples=10 eps=2.5,0.38478217278308186
dbscan min_samples=10 eps=3,0.5317262665089878
dbscan min_samples=11 eps=0.1,-1
dbscan min_samples=11 eps=0.5,-1
dbscan min_samples=11 eps=1,-0.1708680331753126
dbscan min_samples=11 eps=1.5,0.09695234596933865
dbscan min_samples=11 eps=2,0.2417082765459714
dbscan min_samples=11 eps=2.5,0.3795675047914625
dbscan min_samples=11 eps=3,0.5317262665089878
dbscan min_samples=12 eps=0.1,-1
dbscan min_samples=12 eps=0.5,-1
dbscan min_samples=12 eps=1,-0.30750157821468127
dbscan min_samples=12 eps=1.5,0.14320087068840887
dbscan min_samples=12 eps=2,0.1750628096884449
dbscan min_samples=12 eps=2.5,0.3760623294623703
dbscan min_samples=12 eps=3,0.5317262665089878
dbscan min_samples=13 eps=0.1,-1
dbscan min_samples=13 eps=0.5,-1
dbscan min_samples=13 eps=1,-0.33409577590772344
dbscan min_samples=13 eps=1.5,0.14108796917220787
dbscan min_samples=13 eps=2,0.16670382910329928
dbscan min_samples=13 eps=2.5,0.3760623294623703
dbscan min_samples=13 eps=3,0.5317262665089878
dbscan min_samples=14 eps=0.1,-1
dbscan min_samples=14 eps=0.5,-1
dbscan min_samples=14 eps=1,-0.33022504467054153
dbscan min_samples=14 eps=1.5,0.11010971011460136
dbscan min_samples=14 eps=2,0.16676682276855753
dbscan min_samples=14 eps=2.5,0.37336977162747736
dbscan min_samples=14 eps=3,0.5317262665089878
dbscan min_samples=15 eps=0.1,-1
dbscan min_samples=15 eps=0.5,-1
dbscan min_samples=15 eps=1,-0.31064119955678215
dbscan min_samples=15 eps=1.5,0.10328895077181235
dbscan min_samples=15 eps=2,0.1657316614378088
dbscan min_samples=15 eps=2.5,0.37232214752397186
dbscan min_samples=15 eps=3,0.5317262665089878
dbscan min_samples=16 eps=0.1,-1
dbscan min_samples=16 eps=0.5,-1
dbscan min_samples=16 eps=1,-0.3259225008507545
dbscan min_samples=16 eps=1.5,0.09903598750553652
dbscan min_samples=16 eps=2,0.16566472213856023
dbscan min_samples=16 eps=2.5,0.3728445692588179
dbscan min_samples=16 eps=3,0.5317262665089878
dbscan min_samples=17 eps=0.1,-1
dbscan min_samples=17 eps=0.5,-1
dbscan min_samples=17 eps=1,-0.33143906555793734
dbscan min_samples=17 eps=1.5,0.09774633674051474
dbscan min_samples=17 eps=2,0.23431766986159644
dbscan min_samples=17 eps=2.5,0.3671746638081163
dbscan min_samples=17 eps=3,0.5317262665089878
dbscan min_samples=18 eps=0.1,-1
dbscan min_samples=18 eps=0.5,-1
dbscan min_samples=18 eps=1,-0.2788401777446254
dbscan min_samples=18 eps=1.5,0.015611845254902027
dbscan min_samples=18 eps=2,0.24989722991862068
dbscan min_samples=18 eps=2.5,0.3659632738149033
