clustering type,value
dbscan min_samples=3 eps=4,-1
dbscan min_samples=3 eps=5,-1
dbscan min_samples=3 eps=6,-1
dbscan min_samples=3 eps=7,-1
dbscan min_samples=3 eps=8,-1
dbscan min_samples=3 eps=9,-1
dbscan min_samples=3 eps=10,-1
dbscan min_samples=3 eps=11,-1
dbscan min_samples=3 eps=12,-1
dbscan min_samples=3 eps=13,-1
dbscan min_samples=3 eps=14,-1
dbscan min_samples=3 eps=15,-1
dbscan min_samples=3 eps=16,-1
dbscan min_samples=3 eps=17,-1
dbscan min_samples=3 eps=18,-1
dbscan min_samples=3 eps=19,-1
dbscan min_samples=3 eps=20,-1
dbscan min_samples=4 eps=4,-1
dbscan min_samples=4 eps=5,-1
dbscan min_samples=4 eps=6,-1
dbscan min_samples=4 eps=7,-1
dbscan min_samples=4 eps=8,-1
dbscan min_samples=4 eps=9,-1
dbscan min_samples=4 eps=10,-1
dbscan min_samples=4 eps=11,-1
dbscan min_samples=4 eps=12,-1
dbscan min_samples=4 eps=13,-1
dbscan min_samples=4 eps=14,-1
dbscan min_samples=4 eps=15,-1
dbscan min_samples=4 eps=16,-1
dbscan min_samples=4 eps=17,-1
dbscan min_samples=4 eps=18,-1
dbscan min_samples=4 eps=19,-1
dbscan min_samples=4 eps=20,-1
dbscan min_samples=5 eps=4,0.5743058948619345
dbscan min_samples=5 eps=5,-1
dbscan min_samples=5 eps=6,-1
dbscan min_samples=5 eps=7,-1
dbscan min_samples=5 eps=8,-1
dbscan min_samples=5 eps=9,-1
dbscan min_samples=5 eps=10,-1
dbscan min_samples=5 eps=11,-1
dbscan min_samples=5 eps=12,-1
dbscan min_samples=5 eps=13,-1
dbscan min_samples=5 eps=14,-1
dbscan min_samples=5 eps=15,-1
dbscan min_samples=5 eps=16,-1
dbscan min_samples=5 eps=17,-1
dbscan min_samples=5 eps=18,-1
dbscan min_samples=5 eps=19,-1
dbscan min_samples=5 eps=20,-1
dbscan min_samples=6 eps=4,0.5745161998083851
dbscan min_samples=6 eps=5,-1
dbscan min_samples=6 eps=6,-1
dbscan min_samples=6 eps=7,-1
dbscan min_samples=6 eps=8,-1
dbscan min_samples=6 eps=9,-1
dbscan min_samples=6 eps=10,-1
dbscan min_samples=6 eps=11,-1
dbscan min_samples=6 eps=12,-1
dbscan min_samples=6 eps=13,-1
dbscan min_samples=6 eps=14,-1
dbscan min_samples=6 eps=15,-1
dbscan min_samples=6 eps=16,-1
dbscan min_samples=6 eps=17,-1
dbscan min_samples=6 eps=18,-1
dbscan min_samples=6 eps=19,-1
dbscan min_samples=6 eps=20,-1
