clustering type,value
hdbscan min_samples=2 min_cluster_size=2,0.4719172433796521
hdbscan min_samples=2 min_cluster_size=3,0.4719172433796521
hdbscan min_samples=2 min_cluster_size=4,0.20193322290816035
hdbscan min_samples=2 min_cluster_size=5,0.2650908014344339
hdbscan min_samples=2 min_cluster_size=6,0.20214024712346482
hdbscan min_samples=2 min_cluster_size=7,0.20214024712346482
hdbscan min_samples=2 min_cluster_size=8,0.20214024712346482
hdbscan min_samples=2 min_cluster_size=9,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=10,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=11,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=12,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=13,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=14,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=15,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=16,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=17,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=18,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=19,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=20,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=21,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=22,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=23,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=24,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=25,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=26,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=27,0.2139738632463745
hdbscan min_samples=2 min_cluster_size=28,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=29,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=30,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=31,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=32,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=33,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=34,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=35,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=36,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=37,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=38,-0.09143462174961947
hdbscan min_samples=2 min_cluster_size=39,-0.09143462174961947
