clustering type,value
optics min_samples=1 xi=0.01 min_cluster_size=0.01,-1
optics min_samples=1 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=1 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=1 xi=0.05 min_cluster_size=0.01,-1
optics min_samples=1 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=1 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=1 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=1 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=1 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=2 xi=0.01 min_cluster_size=0.01,-0.19044306720872456
optics min_samples=2 xi=0.01 min_cluster_size=0.05,0.3068865807265993
optics min_samples=2 xi=0.01 min_cluster_size=0.1,0.3068865807265993
optics min_samples=2 xi=0.05 min_cluster_size=0.01,0.5724451021236748
optics min_samples=2 xi=0.05 min_cluster_size=0.05,0.5724451021236748
optics min_samples=2 xi=0.05 min_cluster_size=0.1,0.5724451021236748
optics min_samples=2 xi=0.1 min_cluster_size=0.01,0.5724451021236748
optics min_samples=2 xi=0.1 min_cluster_size=0.05,0.5724451021236748
optics min_samples=2 xi=0.1 min_cluster_size=0.1,0.5724451021236748
optics min_samples=3 xi=0.01 min_cluster_size=0.01,-0.19065622848700933
optics min_samples=3 xi=0.01 min_cluster_size=0.05,0.3068865807265993
optics min_samples=3 xi=0.01 min_cluster_size=0.1,0.3068865807265993
optics min_samples=3 xi=0.05 min_cluster_size=0.01,-1
optics min_samples=3 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=3 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=3 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=3 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=3 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=4 xi=0.01 min_cluster_size=0.01,-0.0012525905017131721
optics min_samples=4 xi=0.01 min_cluster_size=0.05,0.2192871933527586
optics min_samples=4 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=4 xi=0.05 min_cluster_size=0.01,-1
optics min_samples=4 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=4 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=4 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=4 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=4 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=5 xi=0.01 min_cluster_size=0.01,-0.20999263773177235
optics min_samples=5 xi=0.01 min_cluster_size=0.05,0.3021143182086243
optics min_samples=5 xi=0.01 min_cluster_size=0.1,0.3021143182086243
optics min_samples=5 xi=0.05 min_cluster_size=0.01,-1
optics min_samples=5 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=5 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=5 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=5 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=5 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=6 xi=0.01 min_cluster_size=0.01,-0.0707805635418036
optics min_samples=6 xi=0.01 min_cluster_size=0.05,0.2991052721165287
optics min_samples=6 xi=0.01 min_cluster_size=0.1,0.2991052721165287
optics min_samples=6 xi=0.05 min_cluster_size=0.01,-1
optics min_samples=6 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=6 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=6 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=6 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=6 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=7 xi=0.01 min_cluster_size=0.01,-0.020826416333804214
optics min_samples=7 xi=0.01 min_cluster_size=0.05,0.33814214264644554
optics min_samples=7 xi=0.01 min_cluster_size=0.1,0.33814214264644554
optics min_samples=7 xi=0.05 min_cluster_size=0.01,0.35777296962104305
optics min_samples=7 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=7 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=7 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=7 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=7 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=8 xi=0.01 min_cluster_size=0.01,-0.2112802559178234
optics min_samples=8 xi=0.01 min_cluster_size=0.05,0.3239980846522768
optics min_samples=8 xi=0.01 min_cluster_size=0.1,0.3239980846522768
optics min_samples=8 xi=0.05 min_cluster_size=0.01,0.35777296962104305
optics min_samples=8 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=8 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=8 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=8 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=8 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=9 xi=0.01 min_cluster_size=0.01,0.0066931056037983295
optics min_samples=9 xi=0.01 min_cluster_size=0.05,0.3239315114492797
optics min_samples=9 xi=0.01 min_cluster_size=0.1,0.3239315114492797
optics min_samples=9 xi=0.05 min_cluster_size=0.01,0.3569030343938956
optics min_samples=9 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=9 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=9 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=9 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=9 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=10 xi=0.01 min_cluster_size=0.01,-0.020557173806003002
optics min_samples=10 xi=0.01 min_cluster_size=0.05,0.3239315114492797
optics min_samples=10 xi=0.01 min_cluster_size=0.1,0.3239315114492797
optics min_samples=10 xi=0.05 min_cluster_size=0.01,0.35600346227434276
optics min_samples=10 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=10 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=10 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=10 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=10 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=11 xi=0.01 min_cluster_size=0.01,-0.17477851529724825
optics min_samples=11 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=11 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=11 xi=0.05 min_cluster_size=0.01,0.35304043530607143
optics min_samples=11 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=11 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=11 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=11 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=11 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=12 xi=0.01 min_cluster_size=0.01,-0.06995222458320752
optics min_samples=12 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=12 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=12 xi=0.05 min_cluster_size=0.01,0.35600346227434276
optics min_samples=12 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=12 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=12 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=12 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=12 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=13 xi=0.01 min_cluster_size=0.01,0.05257224195043489
optics min_samples=13 xi=0.01 min_cluster_size=0.05,0.37173160657697923
optics min_samples=13 xi=0.01 min_cluster_size=0.1,0.37173160657697923
optics min_samples=13 xi=0.05 min_cluster_size=0.01,0.35600346227434276
optics min_samples=13 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=13 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=13 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=13 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=13 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=14 xi=0.01 min_cluster_size=0.01,-0.20220454519493342
optics min_samples=14 xi=0.01 min_cluster_size=0.05,0.30951044842657
optics min_samples=14 xi=0.01 min_cluster_size=0.1,0.30951044842657
optics min_samples=14 xi=0.05 min_cluster_size=0.01,0.35523419788731236
optics min_samples=14 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=14 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=14 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=14 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=14 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=15 xi=0.01 min_cluster_size=0.01,-0.1975867391382229
optics min_samples=15 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=15 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=15 xi=0.05 min_cluster_size=0.01,-1
optics min_samples=15 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=15 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=15 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=15 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=15 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=16 xi=0.01 min_cluster_size=0.01,-0.21287558687318953
optics min_samples=16 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=16 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=16 xi=0.05 min_cluster_size=0.01,0.3563637110676379
optics min_samples=16 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=16 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=16 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=16 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=16 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=17 xi=0.01 min_cluster_size=0.01,-0.2551589441114472
optics min_samples=17 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=17 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=17 xi=0.05 min_cluster_size=0.01,0.3563637110676379
optics min_samples=17 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=17 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=17 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=17 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=17 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=18 xi=0.01 min_cluster_size=0.01,-0.2571985992175585
optics min_samples=18 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=18 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=18 xi=0.05 min_cluster_size=0.01,0.3563637110676379
optics min_samples=18 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=18 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=18 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=18 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=18 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=19 xi=0.01 min_cluster_size=0.01,0.23489468850309886
optics min_samples=19 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=19 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=19 xi=0.05 min_cluster_size=0.01,0.3582239463146768
optics min_samples=19 xi=0.05 min_cluster_size=0.05,-1
optics min_samples=19 xi=0.05 min_cluster_size=0.1,-1
optics min_samples=19 xi=0.1 min_cluster_size=0.01,-1
optics min_samples=19 xi=0.1 min_cluster_size=0.05,-1
optics min_samples=19 xi=0.1 min_cluster_size=0.1,-1
optics min_samples=20 xi=0.01 min_cluster_size=0.01,-0.23104520799705983
optics min_samples=20 xi=0.01 min_cluster_size=0.05,-1
optics min_samples=20 xi=0.01 min_cluster_size=0.1,-1
optics min_samples=20 xi=0.05 min_cluster_size=0.01,0.3582239463146768
optics min_samples=20 xi=0.05 min_cluster_size=0.05,-1
