clustering type,value
hierarchicalCentroidLinkage threshold1,0.26345977509039425
hierarchicalCentroidLinkage threshold2,0.2666965823124484
hierarchicalCentroidLinkage threshold3,0.07888657909233716
hierarchicalCentroidLinkage threshold4,0.03356599161226189
hierarchicalCentroidLinkage threshold5,0.02246647494545627
hierarchicalCentroidLinkage threshold6,0.02003518572054147
hierarchicalCentroidLinkage threshold7,0.018440572635349154
hierarchicalCentroidLinkage threshold8,0.018440572635349154
hierarchicalCentroidLinkage threshold9,0.018440572635349154
hierarchicalCentroidLinkage threshold10,0.018853659589530107
hierarchicalCentroidLinkage threshold11,0.018853659589530107
hierarchicalCentroidLinkage threshold12,0.018853659589530107
hierarchicalCentroidLinkage threshold13,0.018853659589530107
hierarchicalCentroidLinkage threshold14,0.018853659589530107
hierarchicalCentroidLinkage threshold15,0.018853659589530107
hierarchicalCentroidLinkage threshold16,0.018853659589530107
hierarchicalCentroidLinkage threshold17,0.018853659589530107
hierarchicalCentroidLinkage threshold18,0.018853659589530107
hierarchicalCentroidLinkage threshold19,0.018853659589530107
hierarchicalCentroidLinkage threshold20,0.018853659589530107
hierarchicalCentroidLinkage threshold21,0.018853659589530107
hierarchicalCentroidLinkage threshold22,0.018853659589530107
hierarchicalCentroidLinkage threshold23,0.018853659589530107
hierarchicalCentroidLinkage threshold24,0.018853659589530107
hierarchicalCentroidLinkage threshold25,0.018853659589530107
hierarchicalCentroidLinkage threshold26,0.018853659589530107
hierarchicalCentroidLinkage threshold27,0.018853659589530107
hierarchicalCentroidLinkage threshold28,0.018853659589530107
hierarchicalCentroidLinkage threshold29,0.018853659589530107
hierarchicalCentroidLinkage threshold30,0.018853659589530107
hierarchicalCentroidLinkage threshold31,0.018853659589530107
hierarchicalCentroidLinkage threshold32,0.018853659589530107
hierarchicalCentroidLinkage threshold33,0.018853659589530107
hierarchicalCentroidLinkage threshold34,0.018853659589530107
hierarchicalCentroidLinkage threshold35,0.018853659589530107
hierarchicalCentroidLinkage threshold36,0.018853659589530107
hierarchicalCentroidLinkage threshold37,0.018853659589530107
hierarchicalCentroidLinkage threshold38,0.018853659589530107
hierarchicalCentroidLinkage threshold39,0.018853659589530107
hierarchicalCentroidLinkage threshold40,0.018853659589530107
hierarchicalCentroidLinkage threshold41,0.018853659589530107
hierarchicalCentroidLinkage threshold42,0.018853659589530107
hierarchicalCentroidLinkage threshold43,0.018853659589530107
hierarchicalCentroidLinkage threshold44,0.018853659589530107
hierarchicalCentroidLinkage threshold45,0.018853659589530107
hierarchicalCentroidLinkage threshold46,0.018853659589530107
hierarchicalCentroidLinkage threshold47,0.018853659589530107
hierarchicalCentroidLinkage threshold48,0.018853659589530107
hierarchicalCentroidLinkage threshold49,0.018853659589530107
hierarchicalCompleteLinkage threshold1,0.17253743373095118
hierarchicalCompleteLinkage threshold2,0.39339636362221986
hierarchicalCompleteLinkage threshold3,0.5801133550533566
hierarchicalCompleteLinkage threshold4,0.6056972099315873
hierarchicalCompleteLinkage threshold5,0.5069640458274464
hierarchicalCompleteLinkage threshold6,0.3588628090404734
hierarchicalCompleteLinkage threshold7,0.21779482466037858
hierarchicalCompleteLinkage threshold8,0.15199132312889252
hierarchicalCompleteLinkage threshold9,0.09745660004234322
hierarchicalCompleteLinkage threshold10,0.07064904695362526
hierarchicalCompleteLinkage threshold11,0.051085444606054645
hierarchicalCompleteLinkage threshold12,0.04321777272772898
hierarchicalCompleteLinkage threshold13,0.037071786720479644
hierarchicalCompleteLinkage threshold14,0.023691954702073796
hierarchicalCompleteLinkage threshold15,0.023691954702073796
hierarchicalCompleteLinkage threshold16,0.018853659589530107
hierarchicalCompleteLinkage threshold17,0.018853659589530107
hierarchicalCompleteLinkage threshold18,0.018853659589530107
hierarchicalCompleteLinkage threshold19,0.018853659589530107
hierarchicalCompleteLinkage threshold20,0.018853659589530107
hierarchicalCompleteLinkage threshold21,0.018853659589530107
hierarchicalCompleteLinkage threshold22,0.018853659589530107
hierarchicalCompleteLinkage threshold23,0.018853659589530107
hierarchicalCompleteLinkage threshold24,0.018853659589530107
hierarchicalCompleteLinkage threshold25,0.018853659589530107
hierarchicalCompleteLinkage threshold26,0.018853659589530107
hierarchicalCompleteLinkage threshold27,0.018853659589530107
hierarchicalCompleteLinkage threshold28,0.018853659589530107
hierarchicalCompleteLinkage threshold29,0.018853659589530107
hierarchicalCompleteLinkage threshold30,0.018853659589530107
hierarchicalCompleteLinkage threshold31,0.018853659589530107
hierarchicalCompleteLinkage threshold32,0.018853659589530107
hierarchicalCompleteLinkage threshold33,0.018853659589530107
hierarchicalCompleteLinkage threshold34,0.018853659589530107
hierarchicalCompleteLinkage threshold35,0.018853659589530107
hierarchicalCompleteLinkage threshold36,0.018853659589530107
hierarchicalCompleteLinkage threshold37,0.018853659589530107
hierarchicalCompleteLinkage threshold38,0.018853659589530107
hierarchicalCompleteLinkage threshold39,0.018853659589530107
hierarchicalCompleteLinkage threshold40,0.018853659589530107
hierarchicalCompleteLinkage threshold41,0.018853659589530107
hierarchicalCompleteLinkage threshold42,0.018853659589530107
hierarchicalCompleteLinkage threshold43,0.018853659589530107
hierarchicalCompleteLinkage threshold44,0.018853659589530107
hierarchicalCompleteLinkage threshold45,0.018853659589530107
hierarchicalCompleteLinkage threshold46,0.018853659589530107
hierarchicalCompleteLinkage threshold47,0.018853659589530107
hierarchicalCompleteLinkage threshold48,0.018853659589530107
hierarchicalCompleteLinkage threshold49,0.018853659589530107
hierarchicalSingleLinkage threshold1,0.12289600920900212
hierarchicalSingleLinkage threshold2,0.01975173619584626
hierarchicalSingleLinkage threshold3,0.017679999614459818
hierarchicalSingleLinkage threshold4,0.017608658074501984
hierarchicalSingleLinkage threshold5,0.017608658074501984
hierarchicalSingleLinkage threshold6,0.017608658074501984
hierarchicalSingleLinkage threshold7,0.017608658074501984
hierarchicalSingleLinkage threshold8,0.017608658074501984
hierarchicalSingleLinkage threshold9,0.017608658074501984
hierarchicalSingleLinkage threshold10,0.018025588879356833
hierarchicalSingleLinkage threshold11,0.018025588879356833
hierarchicalSingleLinkage threshold12,0.018025588879356833
hierarchicalSingleLinkage threshold13,0.018025588879356833
hierarchicalSingleLinkage threshold14,0.018025588879356833
hierarchicalSingleLinkage threshold15,0.018025588879356833
hierarchicalSingleLinkage threshold16,0.018025588879356833
hierarchicalSingleLinkage threshold17,0.018025588879356833
hierarchicalSingleLinkage threshold18,0.018025588879356833
hierarchicalSingleLinkage threshold19,0.018025588879356833
hierarchicalSingleLinkage threshold20,0.018025588879356833
hierarchicalSingleLinkage threshold21,0.018025588879356833
hierarchicalSingleLinkage threshold22,0.018025588879356833
hierarchicalSingleLinkage threshold23,0.018025588879356833
hierarchicalSingleLinkage threshold24,0.018025588879356833
hierarchicalSingleLinkage threshold25,0.018025588879356833
hierarchicalSingleLinkage threshold26,0.018025588879356833
hierarchicalSingleLinkage threshold27,0.018025588879356833
hierarchicalSingleLinkage threshold28,0.018025588879356833
hierarchicalSingleLinkage threshold29,0.018025588879356833
hierarchicalSingleLinkage threshold30,0.018025588879356833
hierarchicalSingleLinkage threshold31,0.018025588879356833
hierarchicalSingleLinkage threshold32,0.018025588879356833
hierarchicalSingleLinkage threshold33,0.018025588879356833
hierarchicalSingleLinkage threshold34,0.018025588879356833
hierarchicalSingleLinkage threshold35,0.018025588879356833
hierarchicalSingleLinkage threshold36,0.018025588879356833
hierarchicalSingleLinkage threshold37,0.018025588879356833
hierarchicalSingleLinkage threshold38,0.018025588879356833
hierarchicalSingleLinkage threshold39,0.018025588879356833
hierarchicalSingleLinkage threshold40,0.018025588879356833
hierarchicalSingleLinkage threshold41,0.018025588879356833
hierarchicalSingleLinkage threshold42,0.018025588879356833
hierarchicalSingleLinkage threshold43,0.018025588879356833
hierarchicalSingleLinkage threshold44,0.018025588879356833
hierarchicalSingleLinkage threshold45,0.018025588879356833
hierarchicalSingleLinkage threshold46,0.018025588879356833
hierarchicalSingleLinkage threshold47,0.018025588879356833
hierarchicalSingleLinkage threshold48,0.018025588879356833
hierarchicalSingleLinkage threshold49,0.018025588879356833
hierarchicalGroupAverage threshold2 criterion=maxclust,0.02627014590368313
hierarchicalGroupAverage threshold3 criterion=maxclust,0.026181282698836246
hierarchicalGroupAverage threshold4 criterion=maxclust,0.025968191892946243
hierarchicalGroupAverage threshold5 criterion=maxclust,0.0409094799464042
