album_name, value_counts
426, 32
1581, 25
4, 23
30, 22
118, 22
434, 18
1152, 18
55, 18
373, 18
2312, 18
504, 16
486, 15
1275, 15
51, 15
1047, 15
945, 14
268, 14
452, 12
1086, 12
515, 12
573, 12
406, 12
404, 12
4828, 12
2936, 12
1696, 11
2179, 11
681, 11
808, 10
1536, 10
836, 10
442, 10
536, 10
1423, 10
757, 10
813, 10
1043, 10
1211, 10
1170, 10
4594, 10
702, 10
1947, 10
3472, 10
657, 9
615, 9
3503, 9
4284, 9
2182, 9
4883, 9
1331, 9
2320, 9
1386, 9
1752, 9
2925, 9
471, 8
316, 8
160, 8
595, 8
1166, 8
2049, 8
954, 8
3216, 8
1706, 8
1318, 8
1883, 8
245, 8
1052, 8
309, 8
3291, 8
1121, 8
1022, 8
1760, 8
265, 8
820, 8
845, 8
714, 8
187, 8
209, 8
1049, 8
1452, 8
2550, 8
138, 7
3060, 7
120, 7
4072, 7
1354, 7
1012, 7
1029, 7
3100, 7
3176, 7
2307, 7
1174, 7
357, 7
196, 7
2900, 7
1994, 7
1344, 7
577, 7
4499, 7
2557, 7
1715, 7
828, 7
3735, 7
3748, 7
5232, 7
1296, 7
17, 7
2787, 7
333, 7
4148, 7
1134, 7
2596, 7
1636, 7
301, 7
1433, 7
853, 7
490, 7
489, 7
2571, 7
289, 7
652, 7
2011, 7
1873, 7
2005, 7
3648, 7
2472, 7
5674, 7
219, 7
858, 7
660, 7
2256, 7
423, 7
2017, 7
653, 7
1903, 7
1360, 6
1826, 6
727, 6
624, 6
566, 6
2581, 6
5985, 6
354, 6
4015, 6
6060, 6
2617, 6
3367, 6
2991, 6
3904, 6
3559, 6
1479, 6
1380, 6
230, 6
293, 6
2327, 6
3664, 6
605, 6
707, 6
1434, 6
3685, 6
656, 6
3506, 6
159, 6
974, 6
3278, 6
3160, 6
3912, 6
409, 6
973, 6
4873, 6
2136, 6
69, 6
2449, 6
1716, 6
1323, 6
783, 6
3023, 6
3782, 6
3774, 6
68, 6
991, 6
847, 6
2222, 6
2844, 6
1282, 6
2228, 6
2934, 6
1240, 6
2183, 6
65, 6
499, 6
920, 6
4536, 6
4395, 6
509, 6
5046, 6
779, 6
1422, 6
141, 6
738, 6
1349, 6
1206, 6
1830, 6
2303, 6
1013, 6
1187, 6
2684, 6
128, 6
3263, 6
123, 6
4827, 6
3700, 6
4119, 6
367, 6
3890, 5
1276, 5
2021, 5
1401, 5
1834, 5
1250, 5
7507, 5
2417, 5
3301, 5
1849, 5
4333, 5
475, 5
501, 5
2858, 5
3861, 5
1130, 5
3246, 5
1846, 5
1952, 5
614, 5
1175, 5
2019, 5
6064, 5
4049, 5
369, 5
1285, 5
2028, 5
360, 5
2575, 5
1412, 5
1987, 5
1165, 5
503, 5
334, 5
3322, 5
3555, 5
587, 5
403, 5
1343, 5
3869, 5
542, 5
3016, 5
2828, 5
575, 5
3833, 5
541, 5
1374, 5
2002, 5
3553, 5
1316, 5
3889, 5
6966, 5
1301, 5
5749, 5
1303, 5
2454, 5
1958, 5
1366, 5
1221, 5
523, 5
2802, 5
1143, 5
