consequent,antecedent,abs_support,%_support,confidence,lift
veryLowAcousticness,"('veryHighEnergy', 'veryLowLiveness')",2505,16.7,0.8338881491344874,1.551708502297148
veryLowAcousticness,"('veryHighEnergy', 'veryLowSpeechiness')",4346,28.973333333333333,0.8314520757604744,1.5471754294017017
veryLowAcousticness,"('veryHighEnergy', 'Major', 'veryLowSpeechiness')",3136,20.906666666666666,0.8311688311688312,1.546648364661018
veryLowAcousticness,"('veryHighEnergy', 'veryLowSpeechiness', 'notExplicit')",4002,26.68,0.8232873894260441,1.531982488697514
veryLowAcousticness,"('veryHighEnergy', 'Major')",3405,22.7,0.822662478859628,1.5308196480454557
veryLowAcousticness,"('veryHighEnergy', 'Major', 'veryLowSpeechiness', 'notExplicit')",2874,19.16,0.8225529479107041,1.5306158316164944
veryLowAcousticness,"('veryHighEnergy',)",4711,31.406666666666666,0.8217338217338217,1.529091592359177
veryLowAcousticness,"('veryHighEnergy', 'Major', 'notExplicit')",3071,20.473333333333333,0.8154540626659585,1.517406145638181
veryLowAcousticness,"('veryHighEnergy', 'notExplicit')",4264,28.426666666666666,0.8154522853318034,1.517402838354677
veryLowAcousticness,"('veryUnpopular', 'veryLongDuration')",2292,15.28,0.7424684159378037,1.3815936284663262
veryLowLiveness,"('veryHighInstrumentalness', 'veryLowSpeechiness', 'notExplicit')",2437,16.246666666666666,0.7856221792392005,1.1991790667129345
veryLowLiveness,"('veryHighInstrumentalness', 'veryLowSpeechiness')",2456,16.373333333333335,0.7814190264078905,1.1927633454887918
veryLowLiveness,"('veryHighInstrumentalness', 'notExplicit')",2525,16.833333333333332,0.7743023612388837,1.1819004191089097
veryLowLiveness,"('veryHighInstrumentalness',)",2546,16.973333333333336,0.7703479576399395,1.1758643904140726
veryLowLiveness,"('highDanceability', 'veryLowSpeechiness', 'notExplicit')",3521,23.473333333333333,0.7098790322580645,1.0835642092063669
veryLowLiveness,"('highDanceability', 'Major', 'veryLowSpeechiness', 'notExplicit')",2545,16.966666666666665,0.7097044060234244,1.0832976585276652
veryLowLiveness,"('highDanceability', 'veryLowSpeechiness')",3657,24.38,0.7083091226031377,1.0811678883735694
veryLowLiveness,"('highDanceability', 'Major', 'veryLowSpeechiness')",2636,17.573333333333334,0.708221386351424,1.0810339671589864
veryLowLiveness,"('highDanceability', 'Major', 'notExplicit')",2724,18.16,0.7049689440993789,1.0760694170642804
veryLowLiveness,"('highDanceability', 'notExplicit')",3787,25.246666666666666,0.704820398287735,1.075842675721586
veryLowLiveness,"('highDanceability',)",4043,26.953333333333333,0.7031304347826087,1.0732631038708793
veryLowLiveness,"('highDanceability', 'Major')",2890,19.26666666666667,0.7028210116731517,1.0727907983206753
veryLowSpeechiness,"('veryLongDuration', 'veryLowLiveness', 'Major', 'notExplicit')",3010,20.066666666666666,0.9650529015710163,1.064083616845431
Major,"(nan, 'veryLowSpeechiness', 'notExplicit')",3203,21.35333333333333,0.786977886977887,1.0624307717278647
veryLowSpeechiness,"('veryLongDuration', 'veryLowLiveness', 'notExplicit')",4094,27.29333333333333,0.9632941176470589,1.0621443520071951
veryLowSpeechiness,"('veryLongDuration', 'veryLowLiveness', 'Major')",3096,20.64,0.9602977667493796,1.0588405249368344
veryLowSpeechiness,"('veryLongDuration', 'veryLowLiveness')",4216,28.10666666666667,0.9577464788732394,1.0560274318655243
Major,"(nan, 'veryLowSpeechiness')",3348,22.32,0.7818776272769734,1.0555453522774367
notExplicit,"('veryHighInstrumentalness', 'veryLowSpeechiness')",3102,20.68,0.9869551384027999,1.0548900581474987
notExplicit,"('veryHighInstrumentalness',)",3261,21.740000000000002,0.9866868381240544,1.0546032900000581
