name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Long Road,241760.0,False,48.0,Funki Porcini,Hed Phone Sex,0.69,0.513,5.0,-12.529,1.0,0.0975,0.302,0.536,0.281,0.635,142.221,4.0
"Daniâl My Son, Where Did You Vanish?",444000.0,False,0.0,Siavash Amini,A Trail of Laughters,0.069,0.196,1.0,-24.801,0.0,0.0805,0.283,0.934,0.36,0.0336,75.596,4.0
Ondskapens Galakse,333191.0,False,25.0,Kvelertak,Nattesferd,0.368,0.863,2.0,-7.428,1.0,0.0397,7.6e-05,0.754,0.337,0.498,116.634,4.0
Thunderground,307652.0,False,20.0,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,0.687,7.0,-11.34,1.0,0.0539,0.000576,0.0969,0.299,0.637,143.956,4.0
Sick Bubblegum,224267.0,True,33.0,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5.0,-3.047,0.0,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0
The Diamond Four,225160.0,False,28.0,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,0.949,2.0,-2.488,1.0,0.0585,0.306,1.63e-05,0.299,0.85,109.992,4.0
Quiero tener tu presencia,220626.0,False,64.0,Seguridad Social,Furia Latina,0.741,0.816,4.0,-5.597,1.0,0.0797,0.0211,0.0,0.0981,0.574,146.075,4.0
Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116815.0,False,43.0,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,0.119,6.0,-25.16,0.0,0.0501,0.704,0.913,0.543,0.0342,84.886,4.0
Into The Pentagram,405800.0,False,20.0,Samael,Worship Him,0.311,0.729,4.0,-7.047,1.0,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0
Gammy Elbow - VIP Mix,191297.0,False,18.0,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,0.893,7.0,-2.567,1.0,0.191,0.0166,0.859,0.0907,0.613,129.999,4.0
Nobody Supposed to Be Here,99527.0,False,21.0,Kyle Edwards;DJ Smallz 732,Warning,0.885,0.75,6.0,-8.859,0.0,0.173,0.0878,0.963,0.0453,0.406,140.079,4.0
Beautiful Girl,218329.0,False,22.0,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,0.854,7.0,-6.17,1.0,0.105,0.116,4.02e-06,0.108,0.829,110.01,4.0
知足,256627.0,False,55.0,Mayday,知足 just my pride 最真傑作選,0.519,0.232,4.0,-9.029,1.0,0.0269,0.877,0.0,0.104,0.364,80.449,4.0
Escalate,220667.0,False,25.0,X-RX,Activate the Machinez,0.529,0.99,9.0,-4.075,0.0,0.0422,0.000821,0.0743,0.306,0.589,135.989,4.0
Querencia,194649.0,False,57.0,Cameron Sinosa,Querencia,0.17,0.00316,5.0,-38.615,0.0,0.0422,0.991,0.931,0.111,0.0946,70.964,3.0
Real Bad Man - Radio Edit,194617.0,False,0.0,Beenie Man;Blakk Man,Imac Riddim,0.717,0.795,8.0,-4.198,1.0,0.291,0.0298,2.33e-06,0.133,0.792,133.673,5.0
